dataset,condition,comparison_scope,pair_id,source_pair_id,subject_id,canonical_finger_position,path_a,path_b,source_type,source_file,source_split,diagnostics_comparison_scope,config_hash,implementation_hash,primary_raw_score,rerun_raw_score,primary_decision,rerun_decision,raw_score_text_equal,raw_score_numeric_equal,decision_equal,status_equal,error_code_equal,error_message_equal,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,all_deterministic_diagnostics_equal,exact_reproducibility,timing_compared
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001001_02,sd300b_plain_self_00001001_02,00001001,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_02.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001001_03,sd300b_plain_self_00001001_03,00001001,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_03.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001001_04,sd300b_plain_self_00001001_04,00001001,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_04.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001001_05,sd300b_plain_self_00001001_05,00001001,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_05.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001001_07,sd300b_plain_self_00001001_07,00001001,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_07.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001001_08,sd300b_plain_self_00001001_08,00001001,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_08.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001001_09,sd300b_plain_self_00001001_09,00001001,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_09.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3001.0,3001.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001001_10,sd300b_plain_self_00001001_10,00001001,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_10.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,2997.0,2997.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_01,sd300b_plain_self_00001002_01,00001002,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_11.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_02,sd300b_plain_self_00001002_02,00001002,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_02.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_03,sd300b_plain_self_00001002_03,00001002,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_03.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_04,sd300b_plain_self_00001002_04,00001002,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_04.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,1961.0,1961.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_05,sd300b_plain_self_00001002_05,00001002,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_05.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,1806.0,1806.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_06,sd300b_plain_self_00001002_06,00001002,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_12.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_12.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_07,sd300b_plain_self_00001002_07,00001002,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_07.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_08,sd300b_plain_self_00001002_08,00001002,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_08.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3001.0,3001.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_09,sd300b_plain_self_00001002_09,00001002,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_09.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3001.0,3001.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001002_10,sd300b_plain_self_00001002_10,00001002,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_10.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001003_01,sd300b_plain_self_00001003_01,00001003,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_11.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3001.0,3001.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001003_02,sd300b_plain_self_00001003_02,00001003,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_02.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001003_03,sd300b_plain_self_00001003_03,00001003,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_03.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,2399.0,2399.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001003_04,sd300b_plain_self_00001003_04,00001003,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_04.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,2480.0,2480.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
sd300b,plain_self,all_self_or_genuine_pairs,sd300b_plain_self_00001003_05,sd300b_plain_self_00001003_05,00001003,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_05.png,primary_pairwise_bundle,C:\fingerprint-recognition-research\results\sd300b\plain_self\sift_geometric\pairwise-benchmark-v2\51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a\pairs.csv,,all non-timing preparation and comparison diagnostic fields,51cd949cbfd84eebfe7cc5057f3621d6ec20be855905db743f42e8945adc541a,a663786cf6503cb522ab0194c1ab6bc65698d366408c53d49defce09e4960bbb,3000.0,3000.0,accepted,accepted,true,true,true,true,true,true,true,true,true,true,true,false
