dataset,subject_id,canonical_finger_position,sourceafis_included,sift_included,membership
sd300b,00001008,4,true,true,both
sd300b,00001008,5,true,true,both
sd300b,00001008,6,true,true,both
sd300b,00001008,7,true,true,both
sd300b,00001008,8,true,true,both
sd300b,00001008,9,true,true,both
sd300b,00001008,10,true,true,both
sd300b,00001009,1,true,true,both
sd300b,00001009,2,true,true,both
sd300b,00001009,3,true,true,both
sd300b,00001009,4,true,true,both
sd300b,00001009,5,true,true,both
sd300b,00001009,6,true,true,both
sd300b,00001009,7,true,true,both
sd300b,00001009,8,true,true,both
sd300b,00001009,9,true,true,both
sd300b,00001009,10,true,true,both
sd300b,00001010,1,true,true,both
sd300b,00001010,2,true,true,both
sd300b,00001010,3,true,true,both
sd300b,00001010,4,true,true,both
sd300b,00001010,5,true,true,both
sd300b,00001010,6,true,true,both
sd300b,00001010,7,true,true,both
sd300b,00001010,8,true,true,both
sd300b,00001010,9,true,true,both
sd300b,00001010,10,true,true,both
sd300b,00001011,1,true,true,both
sd300b,00001011,2,true,true,both
sd300b,00001011,3,true,true,both
sd300b,00001011,4,true,true,both
sd300b,00001011,5,true,true,both
sd300b,00001011,6,true,true,both
sd300b,00001011,7,true,true,both
sd300b,00001011,8,true,true,both
sd300b,00001011,9,true,true,both
sd300b,00001011,10,true,true,both
sd300b,00001012,1,true,true,both
sd300b,00001012,2,true,true,both
sd300b,00001012,3,true,true,both
sd300b,00001012,4,true,true,both
sd300b,00001012,5,true,true,both
sd300b,00001012,6,true,true,both
sd300b,00001012,7,true,true,both
sd300b,00001012,8,true,true,both
sd300b,00001012,9,true,true,both
sd300b,00001012,10,true,true,both
sd300b,00001013,1,true,true,both
sd300b,00001013,2,true,true,both
sd300b,00001013,3,true,true,both
sd300b,00001013,4,true,true,both
sd300b,00001013,5,true,true,both
sd300b,00001013,6,true,true,both
sd300b,00001013,7,true,true,both
sd300b,00001013,8,true,true,both
sd300b,00001013,9,true,true,both
sd300b,00001013,10,true,true,both
sd300b,00001014,1,true,true,both
sd300b,00001014,2,true,true,both
sd300b,00001014,3,true,true,both
sd300b,00001014,4,true,true,both
sd300b,00001014,5,true,true,both
sd300b,00001014,6,true,true,both
sd300b,00001014,7,true,true,both
sd300b,00001014,8,true,true,both
sd300b,00001014,9,true,true,both
sd300b,00001014,10,true,true,both
sd300b,00001015,1,true,true,both
sd300b,00001015,2,true,true,both
sd300b,00001015,3,true,true,both
sd300b,00001015,4,true,true,both
sd300b,00001015,5,true,true,both
sd300b,00001015,6,true,true,both
sd300b,00001015,7,true,true,both
sd300b,00001015,8,true,true,both
sd300b,00001015,9,true,true,both
sd300b,00001015,10,true,true,both
sd300b,00001016,1,true,true,both
sd300b,00001016,2,true,true,both
sd300b,00001016,3,true,true,both
sd300b,00001016,4,true,true,both
sd300b,00001016,5,true,true,both
sd300b,00001016,6,true,true,both
sd300b,00001016,7,true,true,both
sd300b,00001016,8,true,true,both
sd300b,00001016,9,true,true,both
sd300b,00001016,10,true,true,both
sd300b,00001017,1,true,true,both
sd300b,00001017,2,true,true,both
sd300b,00001017,3,true,true,both
sd300b,00001017,4,true,true,both
sd300b,00001017,5,true,true,both
sd300b,00001017,6,true,true,both
sd300b,00001017,7,true,true,both
sd300b,00001017,8,true,true,both
sd300b,00001017,9,true,true,both
sd300b,00001017,10,true,true,both
sd300b,00001018,1,true,true,both
sd300b,00001018,2,true,true,both
sd300b,00001018,3,true,true,both
sd300b,00001018,4,true,true,both
sd300b,00001018,5,true,true,both
sd300b,00001018,6,true,true,both
sd300b,00001018,7,true,true,both
sd300b,00001018,8,true,true,both
sd300b,00001018,9,true,true,both
sd300b,00001018,10,true,true,both
sd300b,00001019,1,true,true,both
sd300b,00001019,2,true,true,both
sd300b,00001019,3,true,true,both
sd300b,00001019,4,true,true,both
sd300b,00001019,6,true,true,both
sd300b,00001019,7,false,true,sift_only
sd300b,00001019,8,true,true,both
sd300b,00001019,9,true,true,both
sd300b,00001019,10,false,true,sift_only
sd300b,00001020,1,true,true,both
sd300b,00001020,2,true,true,both
sd300b,00001020,3,true,true,both
sd300b,00001020,4,true,true,both
sd300b,00001020,5,true,true,both
sd300b,00001020,6,true,true,both
sd300b,00001020,7,true,true,both
sd300b,00001020,8,true,true,both
sd300b,00001020,9,true,true,both
sd300b,00001020,10,true,true,both
sd300b,00001021,1,true,true,both
sd300b,00001021,2,true,true,both
sd300b,00001021,3,true,true,both
sd300b,00001021,4,true,true,both
sd300b,00001021,5,false,true,sift_only
sd300b,00001021,6,true,true,both
sd300b,00001021,7,true,true,both
sd300b,00001021,8,true,true,both
sd300b,00001021,9,true,true,both
sd300b,00001021,10,true,true,both
sd300b,00001022,1,true,true,both
sd300b,00001022,2,true,true,both
sd300b,00001022,3,true,true,both
sd300b,00001022,4,true,true,both
sd300b,00001022,5,true,true,both
sd300b,00001022,6,true,true,both
sd300b,00001022,7,true,true,both
sd300b,00001022,8,true,true,both
sd300b,00001022,9,true,true,both
sd300b,00001022,10,true,true,both
sd300b,00001023,1,true,true,both
sd300b,00001023,2,true,true,both
sd300b,00001023,3,true,true,both
sd300b,00001023,4,true,true,both
sd300b,00001023,5,true,true,both
sd300b,00001023,6,true,true,both
sd300b,00001023,7,true,true,both
sd300b,00001023,8,true,true,both
sd300b,00001023,9,true,true,both
sd300b,00001023,10,true,true,both
sd300b,00001024,1,true,true,both
sd300b,00001024,2,true,true,both
sd300b,00001024,3,true,true,both
sd300b,00001024,4,true,true,both
sd300b,00001024,5,true,true,both
sd300b,00001024,6,true,true,both
sd300b,00001024,7,true,true,both
sd300b,00001024,8,true,true,both
sd300b,00001024,9,true,true,both
sd300b,00001024,10,true,true,both
sd300b,00001025,1,true,true,both
sd300b,00001025,2,true,true,both
sd300b,00001025,3,true,true,both
sd300b,00001025,4,true,true,both
sd300b,00001025,5,true,true,both
sd300b,00001025,6,true,true,both
sd300b,00001025,7,true,true,both
sd300b,00001025,8,true,true,both
sd300b,00001025,9,true,true,both
sd300b,00001025,10,true,true,both
sd300b,00001026,1,true,true,both
sd300b,00001026,2,true,true,both
sd300b,00001026,3,true,true,both
sd300b,00001026,4,true,true,both
sd300b,00001026,5,true,true,both
sd300b,00001026,6,true,true,both
sd300b,00001026,7,true,true,both
sd300b,00001026,8,true,true,both
sd300b,00001026,9,true,true,both
sd300b,00001026,10,true,true,both
sd300b,00001027,1,true,true,both
sd300b,00001027,2,true,true,both
sd300b,00001027,3,true,true,both
sd300b,00001027,4,true,true,both
sd300b,00001027,5,true,true,both
sd300b,00001027,6,true,true,both
sd300b,00001027,7,true,true,both
sd300b,00001027,8,true,true,both
sd300b,00001027,9,true,true,both
sd300b,00001027,10,true,true,both
sd300b,00001028,1,true,true,both
sd300b,00001028,2,true,true,both
sd300b,00001028,3,true,true,both
sd300b,00001028,4,true,true,both
sd300b,00001028,5,true,true,both
sd300b,00001028,6,true,true,both
sd300b,00001028,7,true,true,both
sd300b,00001028,8,true,true,both
sd300b,00001028,9,true,true,both
sd300b,00001028,10,true,true,both
sd300b,00001029,1,true,true,both
sd300b,00001029,2,true,true,both
sd300b,00001029,3,true,true,both
sd300b,00001029,4,true,true,both
sd300b,00001029,5,true,true,both
sd300b,00001029,6,true,true,both
sd300b,00001029,7,true,true,both
sd300b,00001029,8,true,true,both
sd300b,00001029,9,true,true,both
sd300b,00001029,10,true,true,both
sd300b,00001030,1,true,true,both
sd300b,00001030,2,true,true,both
sd300b,00001030,3,true,true,both
sd300b,00001030,4,true,true,both
sd300b,00001030,5,true,true,both
sd300b,00001030,6,true,true,both
sd300b,00001030,7,true,true,both
sd300b,00001030,8,true,true,both
sd300b,00001030,9,true,true,both
sd300b,00001030,10,true,true,both
sd300b,00001031,1,true,true,both
sd300b,00001031,2,true,true,both
sd300b,00001031,3,true,true,both
sd300b,00001031,4,true,true,both
sd300b,00001031,5,true,true,both
sd300b,00001031,6,true,true,both
sd300b,00001031,7,true,true,both
sd300b,00001031,8,true,true,both
sd300b,00001031,9,true,true,both
sd300b,00001031,10,true,true,both
sd300b,00001032,1,true,true,both
sd300b,00001032,2,true,true,both
sd300b,00001032,3,true,true,both
sd300b,00001032,4,true,true,both
sd300b,00001032,5,true,true,both
sd300b,00001032,6,true,true,both
sd300b,00001032,7,true,true,both
sd300b,00001032,8,true,true,both
sd300b,00001032,9,true,true,both
sd300b,00001032,10,true,true,both
sd300b,00001033,1,true,true,both
sd300b,00001033,2,true,true,both
sd300b,00001033,3,true,true,both
sd300b,00001033,4,true,true,both
sd300b,00001033,5,true,true,both
sd300b,00001033,6,true,true,both
sd300b,00001033,7,true,true,both
sd300b,00001033,8,true,true,both
sd300b,00001033,9,true,true,both
sd300b,00001033,10,true,true,both
sd300b,00001034,1,true,true,both
sd300b,00001034,2,true,true,both
sd300b,00001034,3,true,true,both
sd300b,00001034,4,true,true,both
sd300b,00001034,5,true,true,both
sd300b,00001034,6,true,true,both
sd300b,00001034,7,true,true,both
sd300b,00001034,8,true,true,both
sd300b,00001034,9,true,true,both
sd300b,00001034,10,true,true,both
sd300b,00001035,1,true,true,both
sd300b,00001035,2,true,true,both
sd300b,00001035,3,true,true,both
sd300b,00001035,4,true,true,both
sd300b,00001035,5,true,true,both
sd300b,00001035,6,true,true,both
sd300b,00001035,7,true,true,both
sd300b,00001035,8,true,true,both
sd300b,00001035,9,true,true,both
sd300b,00001035,10,true,true,both
sd300b,00001036,1,true,true,both
sd300b,00001036,2,true,true,both
sd300b,00001036,3,true,true,both
sd300b,00001036,4,true,true,both
sd300b,00001036,5,true,true,both
sd300b,00001036,6,true,true,both
sd300b,00001036,7,true,true,both
sd300b,00001036,8,true,true,both
sd300b,00001036,9,true,true,both
sd300b,00001036,10,true,true,both
sd300b,00001037,1,true,true,both
sd300b,00001037,2,true,true,both
sd300b,00001037,3,true,true,both
sd300b,00001037,4,true,true,both
sd300b,00001037,5,true,true,both
sd300b,00001037,6,true,true,both
sd300b,00001037,7,true,true,both
sd300b,00001037,8,true,true,both
sd300b,00001037,9,true,true,both
sd300b,00001037,10,true,true,both
sd300b,00001038,1,true,true,both
sd300b,00001038,2,true,true,both
sd300b,00001038,3,true,true,both
sd300b,00001038,4,true,true,both
sd300b,00001038,5,true,true,both
sd300b,00001038,6,true,true,both
sd300b,00001038,7,true,true,both
sd300b,00001038,8,true,true,both
sd300b,00001038,9,true,true,both
sd300b,00001038,10,true,true,both
sd300b,00001039,1,true,true,both
sd300b,00001039,2,true,true,both
sd300b,00001039,3,true,true,both
sd300b,00001039,4,true,true,both
sd300b,00001039,5,true,true,both
sd300b,00001039,6,true,true,both
sd300b,00001039,7,true,true,both
sd300b,00001039,8,true,true,both
sd300b,00001039,9,true,true,both
sd300b,00001039,10,true,true,both
sd300b,00001040,1,true,true,both
sd300b,00001040,2,false,true,sift_only
sd300b,00001040,3,true,true,both
sd300b,00001040,4,true,true,both
sd300b,00001040,6,true,true,both
sd300b,00001040,7,true,true,both
sd300b,00001040,8,true,true,both
sd300b,00001040,9,true,true,both
sd300b,00001041,1,true,true,both
sd300b,00001041,2,true,true,both
sd300b,00001041,3,true,true,both
sd300b,00001041,4,true,true,both
sd300b,00001041,5,true,true,both
sd300b,00001041,6,true,true,both
sd300b,00001041,7,true,true,both
sd300b,00001041,8,true,true,both
sd300b,00001041,9,true,true,both
sd300b,00001041,10,true,true,both
sd300b,00001042,1,true,true,both
sd300b,00001042,2,true,true,both
sd300b,00001042,3,true,true,both
sd300b,00001042,4,true,true,both
sd300b,00001042,5,true,true,both
sd300b,00001042,6,true,true,both
sd300b,00001042,7,true,true,both
sd300b,00001042,8,true,true,both
sd300b,00001042,9,true,true,both
sd300b,00001042,10,true,true,both
sd300b,00001043,1,true,true,both
sd300b,00001043,2,true,true,both
sd300b,00001043,3,true,true,both
sd300b,00001043,4,true,true,both
sd300b,00001043,5,true,true,both
sd300b,00001043,6,true,true,both
sd300b,00001043,7,true,true,both
sd300b,00001043,8,true,true,both
sd300b,00001043,9,true,true,both
sd300b,00001043,10,true,true,both
sd300b,00001044,1,true,true,both
sd300b,00001044,2,false,true,sift_only
sd300b,00001044,3,true,true,both
sd300b,00001044,4,true,true,both
sd300b,00001044,5,true,true,both
sd300b,00001044,6,true,true,both
sd300b,00001044,7,true,true,both
sd300b,00001044,8,true,true,both
sd300b,00001044,9,false,true,sift_only
sd300b,00001044,10,true,true,both
sd300b,00001045,1,true,true,both
sd300b,00001045,2,true,true,both
sd300b,00001045,3,true,true,both
sd300b,00001045,4,true,true,both
sd300b,00001045,5,true,true,both
sd300b,00001045,6,true,true,both
sd300b,00001045,7,true,true,both
sd300b,00001045,8,true,true,both
sd300b,00001045,9,true,true,both
sd300b,00001046,1,true,true,both
sd300b,00001046,2,true,true,both
sd300b,00001046,3,true,true,both
sd300b,00001046,4,true,true,both
sd300b,00001046,5,true,true,both
sd300b,00001046,6,true,true,both
sd300b,00001046,7,true,true,both
sd300b,00001046,8,true,true,both
sd300b,00001046,9,true,true,both
sd300b,00001046,10,true,true,both
sd300b,00001047,1,true,true,both
sd300b,00001047,2,false,true,sift_only
sd300b,00001047,3,true,true,both
sd300b,00001047,4,true,true,both
sd300b,00001047,5,true,true,both
sd300b,00001047,6,true,true,both
sd300b,00001047,7,true,true,both
sd300b,00001047,8,true,true,both
sd300b,00001047,9,true,true,both
sd300b,00001047,10,true,true,both
sd300b,00001048,1,true,true,both
sd300b,00001048,2,true,true,both
sd300b,00001048,3,true,true,both
sd300b,00001048,4,true,true,both
sd300b,00001048,5,true,true,both
sd300b,00001048,6,true,true,both
sd300b,00001048,7,true,true,both
sd300b,00001048,8,true,true,both
sd300b,00001048,9,true,true,both
sd300b,00001048,10,true,true,both
sd300b,00001049,1,true,true,both
sd300b,00001049,2,true,true,both
sd300b,00001049,3,true,true,both
sd300b,00001049,4,true,true,both
sd300b,00001049,5,true,true,both
sd300b,00001049,6,true,true,both
sd300b,00001049,7,true,true,both
sd300b,00001049,8,true,true,both
sd300b,00001049,9,true,true,both
sd300b,00001049,10,true,true,both
sd300b,00001050,1,true,true,both
sd300b,00001050,2,true,true,both
sd300b,00001050,3,true,true,both
sd300b,00001050,4,true,true,both
sd300b,00001050,5,true,true,both
sd300b,00001050,6,true,true,both
sd300b,00001050,7,false,true,sift_only
sd300b,00001050,8,false,true,sift_only
sd300b,00001050,9,true,true,both
sd300b,00001051,1,true,true,both
sd300b,00001051,4,true,true,both
sd300b,00001051,5,true,true,both
sd300b,00001051,6,true,true,both
sd300b,00001051,7,true,true,both
sd300b,00001051,8,true,true,both
sd300b,00001051,9,true,true,both
sd300b,00001051,10,true,true,both
sd300b,00001052,1,true,true,both
sd300b,00001052,2,true,true,both
sd300b,00001052,3,true,true,both
sd300b,00001052,4,false,true,sift_only
sd300b,00001052,5,true,true,both
sd300b,00001052,6,true,true,both
sd300b,00001052,7,true,true,both
sd300b,00001052,8,true,true,both
sd300b,00001052,9,true,true,both
sd300b,00001052,10,true,true,both
sd300b,00001053,1,true,true,both
sd300b,00001053,2,true,true,both
sd300b,00001053,3,true,true,both
sd300b,00001053,4,true,true,both
sd300b,00001053,5,true,true,both
sd300b,00001053,6,true,true,both
sd300b,00001053,7,true,true,both
sd300b,00001053,8,true,true,both
sd300b,00001053,9,true,true,both
sd300b,00001053,10,true,true,both
sd300b,00001054,1,true,true,both
sd300b,00001054,2,true,true,both
sd300b,00001054,3,true,true,both
sd300b,00001054,4,true,true,both
sd300b,00001054,5,true,true,both
sd300b,00001054,6,true,true,both
sd300b,00001054,7,false,true,sift_only
sd300b,00001054,8,true,true,both
sd300b,00001054,9,true,true,both
sd300b,00001054,10,true,true,both
sd300b,00001055,1,true,true,both
sd300b,00001055,2,true,true,both
sd300b,00001055,3,true,true,both
sd300b,00001055,4,true,true,both
sd300b,00001055,6,true,true,both
sd300b,00001055,7,true,true,both
sd300b,00001055,8,true,true,both
sd300b,00001055,9,true,true,both
sd300b,00001055,10,true,true,both
sd300b,00001056,1,true,true,both
sd300b,00001056,2,true,true,both
sd300b,00001056,3,true,true,both
sd300b,00001056,4,true,true,both
sd300b,00001056,5,true,true,both
sd300b,00001056,6,true,true,both
sd300b,00001056,7,true,true,both
sd300b,00001056,8,true,true,both
sd300b,00001056,9,true,true,both
sd300b,00001056,10,true,true,both
sd300b,00001057,1,true,true,both
sd300b,00001057,2,true,true,both
sd300b,00001057,3,true,true,both
sd300b,00001057,4,true,true,both
sd300b,00001057,5,true,true,both
sd300b,00001057,6,true,true,both
sd300b,00001057,7,true,true,both
sd300b,00001057,8,true,true,both
sd300b,00001057,9,true,true,both
sd300b,00001057,10,true,true,both
sd300b,00001058,1,true,true,both
sd300b,00001058,2,true,true,both
sd300b,00001058,3,true,true,both
sd300b,00001058,4,true,true,both
sd300b,00001058,5,true,true,both
sd300b,00001058,6,true,true,both
sd300b,00001058,7,true,true,both
sd300b,00001058,8,true,true,both
sd300b,00001058,9,true,true,both
sd300b,00001058,10,true,true,both
sd300b,00001059,1,true,true,both
sd300b,00001059,2,true,true,both
sd300b,00001059,3,true,true,both
sd300b,00001059,4,true,true,both
sd300b,00001059,5,true,true,both
sd300b,00001059,6,false,true,sift_only
sd300b,00001059,7,true,true,both
sd300b,00001059,8,true,true,both
sd300b,00001059,9,true,true,both
sd300b,00001059,10,true,true,both
sd300b,00001060,1,true,true,both
sd300b,00001060,2,true,true,both
sd300b,00001060,3,true,true,both
sd300b,00001060,4,true,true,both
sd300b,00001060,5,true,true,both
sd300b,00001060,6,true,true,both
sd300b,00001060,7,true,true,both
sd300b,00001060,8,true,true,both
sd300b,00001060,9,true,true,both
sd300b,00001060,10,true,true,both
sd300b,00001061,1,true,true,both
sd300b,00001061,2,true,true,both
sd300b,00001061,3,true,true,both
sd300b,00001061,4,true,true,both
sd300b,00001061,5,true,true,both
sd300b,00001061,6,true,true,both
sd300b,00001061,7,true,true,both
sd300b,00001061,8,true,true,both
sd300b,00001061,9,true,true,both
sd300b,00001061,10,true,true,both
sd300b,00001062,1,true,true,both
sd300b,00001062,2,true,true,both
sd300b,00001062,3,true,true,both
sd300b,00001062,4,true,true,both
sd300b,00001062,5,true,true,both
sd300b,00001062,6,true,true,both
sd300b,00001062,7,true,true,both
sd300b,00001062,8,true,true,both
sd300b,00001062,9,true,true,both
sd300b,00001062,10,true,true,both
sd300b,00001063,1,true,true,both
sd300b,00001063,2,true,true,both
sd300b,00001063,3,true,true,both
sd300b,00001063,4,false,true,sift_only
sd300b,00001063,5,false,true,sift_only
sd300b,00001063,6,true,true,both
sd300b,00001063,7,true,true,both
sd300b,00001063,8,true,true,both
sd300b,00001063,9,false,true,sift_only
sd300b,00001063,10,false,true,sift_only
sd300b,00001064,1,true,true,both
sd300b,00001064,5,true,true,both
sd300b,00001064,6,true,true,both
sd300b,00001064,7,true,true,both
sd300b,00001064,8,true,true,both
sd300b,00001064,9,true,true,both
sd300b,00001064,10,true,true,both
sd300b,00001065,1,true,true,both
sd300b,00001065,2,true,true,both
sd300b,00001065,3,true,true,both
sd300b,00001065,4,true,true,both
sd300b,00001065,5,true,true,both
sd300b,00001065,6,true,true,both
sd300b,00001065,7,true,true,both
sd300b,00001065,8,true,true,both
sd300b,00001065,9,true,true,both
sd300b,00001065,10,true,true,both
sd300b,00001066,1,true,true,both
sd300b,00001066,2,true,true,both
sd300b,00001066,3,true,true,both
sd300b,00001066,4,true,true,both
sd300b,00001066,5,true,true,both
sd300b,00001066,6,true,true,both
sd300b,00001066,7,true,true,both
sd300b,00001066,8,true,true,both
sd300b,00001066,9,true,true,both
sd300b,00001066,10,true,true,both
sd300b,00001067,1,true,true,both
sd300b,00001067,2,true,true,both
sd300b,00001067,3,true,true,both
sd300b,00001067,4,true,true,both
sd300b,00001067,5,true,true,both
sd300b,00001067,6,true,true,both
sd300b,00001067,7,true,true,both
sd300b,00001067,8,true,true,both
sd300b,00001067,9,true,true,both
sd300b,00001067,10,true,true,both
sd300b,00001068,1,true,true,both
sd300b,00001068,2,true,true,both
sd300b,00001068,3,true,true,both
sd300b,00001068,4,true,true,both
sd300b,00001068,5,true,true,both
sd300b,00001068,6,true,true,both
sd300b,00001068,7,true,true,both
sd300b,00001068,8,true,true,both
sd300b,00001068,9,true,true,both
sd300b,00001068,10,true,true,both
sd300b,00001069,1,true,true,both
sd300b,00001069,2,true,true,both
sd300b,00001069,3,true,true,both
sd300b,00001069,4,true,true,both
sd300b,00001069,5,true,true,both
sd300b,00001069,6,true,true,both
sd300b,00001069,7,true,true,both
sd300b,00001069,8,true,true,both
sd300b,00001069,9,true,true,both
sd300b,00001069,10,true,true,both
sd300b,00001070,1,true,true,both
sd300b,00001070,2,true,true,both
sd300b,00001070,3,true,true,both
sd300b,00001070,4,true,true,both
sd300b,00001070,5,true,true,both
sd300b,00001070,6,true,true,both
sd300b,00001070,7,true,true,both
sd300b,00001070,8,true,true,both
sd300b,00001070,9,true,true,both
sd300b,00001070,10,true,true,both
sd300b,00001071,1,true,true,both
sd300b,00001071,2,true,true,both
sd300b,00001071,3,true,true,both
sd300b,00001071,4,true,true,both
sd300b,00001071,5,true,true,both
sd300b,00001071,6,true,true,both
sd300b,00001071,7,true,true,both
sd300b,00001071,8,true,true,both
sd300b,00001071,9,true,true,both
sd300b,00001071,10,true,true,both
sd300b,00001072,1,true,true,both
sd300b,00001072,2,true,true,both
sd300b,00001072,3,true,true,both
sd300b,00001072,4,true,true,both
sd300b,00001072,5,true,true,both
sd300b,00001072,6,true,true,both
sd300b,00001072,7,true,true,both
sd300b,00001072,8,true,true,both
sd300b,00001072,9,true,true,both
sd300b,00001072,10,true,true,both
sd300b,00001073,1,true,true,both
sd300b,00001073,2,true,true,both
sd300b,00001073,3,true,true,both
sd300b,00001073,4,true,true,both
sd300b,00001073,5,true,true,both
sd300b,00001073,6,true,true,both
sd300b,00001073,7,true,true,both
sd300b,00001073,8,true,true,both
sd300b,00001073,9,true,true,both
sd300b,00001073,10,true,true,both
sd300b,00001074,1,true,true,both
sd300b,00001074,2,true,true,both
sd300b,00001074,3,true,true,both
sd300b,00001074,4,true,true,both
sd300b,00001074,5,true,true,both
sd300b,00001074,6,true,true,both
sd300b,00001074,7,true,true,both
sd300b,00001074,8,true,true,both
sd300b,00001074,9,true,true,both
sd300b,00001074,10,true,true,both
sd300b,00001075,1,true,true,both
sd300b,00001075,2,true,true,both
sd300b,00001075,3,true,true,both
sd300b,00001075,4,true,true,both
sd300b,00001075,5,true,true,both
sd300b,00001075,6,true,true,both
sd300b,00001075,7,true,true,both
sd300b,00001075,8,true,true,both
sd300b,00001075,9,true,true,both
sd300b,00001075,10,true,true,both
sd300b,00001076,1,true,true,both
sd300b,00001076,2,true,true,both
sd300b,00001076,3,true,true,both
sd300b,00001076,4,true,true,both
sd300b,00001076,5,true,true,both
sd300b,00001076,6,true,true,both
sd300b,00001076,7,true,true,both
sd300b,00001076,8,true,true,both
sd300b,00001076,9,true,true,both
sd300b,00001076,10,true,true,both
sd300b,00001077,1,true,true,both
sd300b,00001077,2,true,true,both
sd300b,00001077,3,true,true,both
sd300b,00001077,4,true,true,both
sd300b,00001077,5,true,true,both
sd300b,00001077,6,true,true,both
sd300b,00001077,7,true,true,both
sd300b,00001077,8,true,true,both
sd300b,00001077,9,true,true,both
sd300b,00001077,10,true,true,both
sd300b,00001078,1,true,true,both
sd300b,00001078,2,true,true,both
sd300b,00001078,3,true,true,both
sd300b,00001078,4,true,true,both
sd300b,00001078,5,true,true,both
sd300b,00001078,6,true,true,both
sd300b,00001078,7,true,true,both
sd300b,00001078,8,true,true,both
sd300b,00001078,9,true,true,both
sd300b,00001078,10,true,true,both
sd300b,00001079,1,true,true,both
sd300b,00001079,2,true,true,both
sd300b,00001079,3,true,true,both
sd300b,00001079,4,true,true,both
sd300b,00001079,5,true,true,both
sd300b,00001079,6,true,true,both
sd300b,00001079,7,true,true,both
sd300b,00001079,8,true,true,both
sd300b,00001079,9,true,true,both
sd300b,00001079,10,true,true,both
sd300b,00001080,1,true,true,both
sd300b,00001080,2,true,true,both
sd300b,00001080,3,true,true,both
sd300b,00001080,4,true,true,both
sd300b,00001080,5,true,true,both
sd300b,00001080,6,true,true,both
sd300b,00001080,7,true,true,both
sd300b,00001080,8,true,true,both
sd300b,00001080,9,true,true,both
sd300b,00001080,10,true,true,both
sd300b,00001081,1,true,true,both
sd300b,00001081,2,true,true,both
sd300b,00001081,3,true,true,both
sd300b,00001081,4,true,true,both
sd300b,00001081,5,true,true,both
sd300b,00001081,6,true,true,both
sd300b,00001081,7,false,true,sift_only
sd300b,00001081,8,true,true,both
sd300b,00001081,9,true,true,both
sd300b,00001081,10,true,true,both
sd300b,00001082,1,true,true,both
sd300b,00001082,2,true,true,both
sd300b,00001082,3,true,true,both
sd300b,00001082,4,true,true,both
sd300b,00001082,5,true,true,both
sd300b,00001082,6,true,true,both
sd300b,00001082,7,true,true,both
sd300b,00001082,8,true,true,both
sd300b,00001082,9,true,true,both
sd300b,00001082,10,true,true,both
sd300b,00001083,2,true,true,both
