condition,dataset,role,pilot_pair_id,reference_pair_id,reference_kind,pilot_raw_score,reference_raw_score,raw_score_abs_delta,raw_score_equal,status_equal,error_code_equal,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,exact_reproducibility
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_08,sd300b_plain_self_00001004_08,canonical_primary_v2,536.7393482227816,536.7393482227816,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_09,sd300b_plain_self_00001004_09,canonical_primary_v2,851.5174479335209,851.5174479335209,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_10,sd300b_plain_self_00001004_10,canonical_primary_v2,233.61969630109917,233.61969630109917,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001005_01,sd300b_plain_self_00001005_01,canonical_primary_v2,338.5457296586046,338.5457296586046,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001005_04,sd300b_plain_self_00001005_04,canonical_primary_v2,746.5914145760153,746.5914145760153,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001005_05,sd300b_plain_self_00001005_05,canonical_primary_v2,373.5210741111065,373.5210741111065,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001005_06,sd300b_plain_self_00001005_06,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001005_07,sd300b_plain_self_00001005_07,canonical_primary_v2,688.2991738218456,688.2991738218456,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001005_08,sd300b_plain_self_00001005_08,canonical_primary_v2,513.4224519211136,513.4224519211136,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001005_09,sd300b_plain_self_00001005_09,canonical_primary_v2,956.443481291026,956.443481291026,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001005_10,sd300b_plain_self_00001005_10,canonical_primary_v2,618.3484849168419,618.3484849168419,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_01,sd300b_plain_self_00001006_01,canonical_primary_v2,753.5984590181577,753.5984590181577,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_02,sd300b_plain_self_00001006_02,canonical_primary_v2,443.4717626543328,443.4717626543328,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_03,sd300b_plain_self_00001006_03,canonical_primary_v2,396.8379700509971,396.8379700509971,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_04,sd300b_plain_self_00001006_04,canonical_primary_v2,536.7393482227816,536.7393482227816,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_05,sd300b_plain_self_00001006_05,canonical_primary_v2,350.20417780943853,350.20417780943853,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_06,sd300b_plain_self_00001006_06,canonical_primary_v2,746.5914145760153,746.5914145760153,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_07,sd300b_plain_self_00001006_07,canonical_primary_v2,501.7640037702798,501.7640037702798,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_08,sd300b_plain_self_00001006_08,canonical_primary_v2,455.1302108051667,455.1302108051667,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_09,sd300b_plain_self_00001006_09,canonical_primary_v2,606.690036766008,606.690036766008,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001006_10,sd300b_plain_self_00001006_10,canonical_primary_v2,163.6690077578728,163.6690077578728,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_01,sd300b_plain_self_00001007_01,canonical_primary_v2,754.3426836115484,754.3426836115484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_02,sd300b_plain_self_00001007_02,canonical_primary_v2,338.5457296586046,338.5457296586046,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_03,sd300b_plain_self_00001007_03,canonical_primary_v2,385.1795219001631,385.1795219001631,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_04,sd300b_plain_self_00001007_04,canonical_primary_v2,420.1548663526649,420.1548663526649,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_05,sd300b_plain_self_00001007_05,canonical_primary_v2,478.44710710683466,478.44710710683466,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_06,sd300b_plain_self_00001007_06,canonical_primary_v2,1154.6371002169808,1154.6371002169808,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_07,sd300b_plain_self_00001007_07,canonical_primary_v2,548.3977963736156,548.3977963736156,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_08,sd300b_plain_self_00001007_08,canonical_primary_v2,466.7886589560007,466.7886589560007,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_09,sd300b_plain_self_00001007_09,canonical_primary_v2,396.8379700509971,396.8379700509971,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001007_10,sd300b_plain_self_00001007_10,canonical_primary_v2,163.6690077578728,163.6690077578728,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_01,sd300b_plain_self_00001008_01,canonical_primary_v2,1038.052618708641,1038.052618708641,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_02,sd300b_plain_self_00001008_02,canonical_primary_v2,420.1548663526649,420.1548663526649,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_03,sd300b_plain_self_00001008_03,canonical_primary_v2,618.3484849168419,618.3484849168419,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_04,sd300b_plain_self_00001008_04,canonical_primary_v2,583.37314046434,583.37314046434,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_05,sd300b_plain_self_00001008_05,canonical_primary_v2,490.1055552576685,490.1055552576685,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_06,sd300b_plain_self_00001008_06,canonical_primary_v2,1166.1001890502716,1166.1001890502716,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_07,sd300b_plain_self_00001008_07,canonical_primary_v2,548.3977963736156,548.3977963736156,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_08,sd300b_plain_self_00001008_08,canonical_primary_v2,268.59504075360104,268.59504075360104,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_09,sd300b_plain_self_00001008_09,canonical_primary_v2,653.3238293693438,653.3238293693438,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001008_10,sd300b_plain_self_00001008_10,canonical_primary_v2,291.9119366934916,291.9119366934916,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_01,sd300b_plain_self_00001009_01,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_02,sd300b_plain_self_00001009_02,canonical_primary_v2,536.7393482227816,536.7393482227816,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_03,sd300b_plain_self_00001009_03,canonical_primary_v2,641.6653812185099,641.6653812185099,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_04,sd300b_plain_self_00001009_04,canonical_primary_v2,618.3484849168419,618.3484849168419,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_05,sd300b_plain_self_00001009_05,canonical_primary_v2,268.59504075360104,268.59504075360104,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_06,sd300b_plain_self_00001009_06,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_07,sd300b_plain_self_00001009_07,canonical_primary_v2,595.031588615174,595.031588615174,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_08,sd300b_plain_self_00001009_08,canonical_primary_v2,630.006933067676,630.006933067676,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_09,sd300b_plain_self_00001009_09,canonical_primary_v2,991.4188257435281,991.4188257435281,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001009_10,sd300b_plain_self_00001009_10,canonical_primary_v2,455.1302108051667,455.1302108051667,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_01,sd300b_plain_self_00001010_01,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_02,sd300b_plain_self_00001010_02,canonical_primary_v2,816.5421034810189,816.5421034810189,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_03,sd300b_plain_self_00001010_03,canonical_primary_v2,769.9083108776832,769.9083108776832,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_04,sd300b_plain_self_00001010_04,canonical_primary_v2,816.5421034810189,816.5421034810189,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_05,sd300b_plain_self_00001010_05,canonical_primary_v2,420.1548663526649,420.1548663526649,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_06,sd300b_plain_self_00001010_06,canonical_primary_v2,1014.7357224069732,1014.7357224069732,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_07,sd300b_plain_self_00001010_07,canonical_primary_v2,513.4224519211136,513.4224519211136,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_08,sd300b_plain_self_00001010_08,canonical_primary_v2,513.4224519211136,513.4224519211136,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_09,sd300b_plain_self_00001010_09,canonical_primary_v2,560.0562438008951,560.0562438008951,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001010_10,sd300b_plain_self_00001010_10,canonical_primary_v2,198.64435184859735,198.64435184859735,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_01,sd300b_plain_self_00001011_01,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_02,sd300b_plain_self_00001011_02,canonical_primary_v2,653.3238293693438,653.3238293693438,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_03,sd300b_plain_self_00001011_03,canonical_primary_v2,1003.0772738943621,1003.0772738943621,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_04,sd300b_plain_self_00001011_04,canonical_primary_v2,839.8589997826866,839.8589997826866,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_05,sd300b_plain_self_00001011_05,canonical_primary_v2,303.57038520610286,303.57038520610286,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_06,sd300b_plain_self_00001011_06,canonical_primary_v2,1169.373683399455,1169.373683399455,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_07,sd300b_plain_self_00001011_07,canonical_primary_v2,525.0809000719476,525.0809000719476,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_08,sd300b_plain_self_00001011_08,canonical_primary_v2,466.7886589560007,466.7886589560007,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_09,sd300b_plain_self_00001011_09,canonical_primary_v2,793.225207179351,793.225207179351,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001011_10,sd300b_plain_self_00001011_10,canonical_primary_v2,408.496418201831,408.496418201831,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_01,sd300b_plain_self_00001012_01,canonical_primary_v2,583.37314046434,583.37314046434,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_02,sd300b_plain_self_00001012_02,canonical_primary_v2,548.3977963736156,548.3977963736156,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_03,sd300b_plain_self_00001012_03,canonical_primary_v2,548.3977963736156,548.3977963736156,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_04,sd300b_plain_self_00001012_04,canonical_primary_v2,490.1055552576685,490.1055552576685,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_05,sd300b_plain_self_00001012_05,canonical_primary_v2,455.1302108051667,455.1302108051667,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_06,sd300b_plain_self_00001012_06,canonical_primary_v2,555.8234664259855,555.8234664259855,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_07,sd300b_plain_self_00001012_07,canonical_primary_v2,408.496418201831,408.496418201831,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_08,sd300b_plain_self_00001012_08,canonical_primary_v2,385.1795219001631,385.1795219001631,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_09,sd300b_plain_self_00001012_09,canonical_primary_v2,350.20417780943853,350.20417780943853,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001012_10,sd300b_plain_self_00001012_10,canonical_primary_v2,233.61969630109917,233.61969630109917,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_01,sd300b_plain_self_00001013_01,canonical_primary_v2,921.2208470211003,921.2208470211003,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_02,sd300b_plain_self_00001013_02,canonical_primary_v2,490.1055552576685,490.1055552576685,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_03,sd300b_plain_self_00001013_03,canonical_primary_v2,723.2745182743473,723.2745182743473,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_04,sd300b_plain_self_00001013_04,canonical_primary_v2,501.7640037702798,501.7640037702798,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_05,sd300b_plain_self_00001013_05,canonical_primary_v2,863.1758960843549,863.1758960843549,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_06,sd300b_plain_self_00001013_06,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_07,sd300b_plain_self_00001013_07,canonical_primary_v2,268.59504075360104,268.59504075360104,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_08,sd300b_plain_self_00001013_08,canonical_primary_v2,816.5421034810189,816.5421034810189,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_09,sd300b_plain_self_00001013_09,canonical_primary_v2,536.7393482227816,536.7393482227816,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001013_10,sd300b_plain_self_00001013_10,canonical_primary_v2,385.1795219001631,385.1795219001631,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_01,sd300b_plain_self_00001014_01,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_02,sd300b_plain_self_00001014_02,canonical_primary_v2,641.6653812185099,641.6653812185099,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_03,sd300b_plain_self_00001014_03,canonical_primary_v2,513.4224519211136,513.4224519211136,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_04,sd300b_plain_self_00001014_04,canonical_primary_v2,664.9822775201776,664.9822775201776,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_05,sd300b_plain_self_00001014_05,canonical_primary_v2,699.9576219726795,699.9576219726795,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_06,sd300b_plain_self_00001014_06,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_07,sd300b_plain_self_00001014_07,canonical_primary_v2,513.4224519211136,513.4224519211136,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_08,sd300b_plain_self_00001014_08,canonical_primary_v2,734.9329664251815,734.9329664251815,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_09,sd300b_plain_self_00001014_09,canonical_primary_v2,595.031588615174,595.031588615174,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001014_10,sd300b_plain_self_00001014_10,canonical_primary_v2,548.3977963736156,548.3977963736156,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001015_01,sd300b_plain_self_00001015_01,canonical_primary_v2,1131.3202039153127,1131.3202039153127,0.0,true,true,true,true,true,true,true
