identity_key,subject_id,canonical_finger_position
00001037|10,00001037,10
00001038|01,00001038,1
00001038|02,00001038,2
00001038|03,00001038,3
00001038|04,00001038,4
00001038|05,00001038,5
00001038|06,00001038,6
00001038|07,00001038,7
00001038|08,00001038,8
00001038|09,00001038,9
00001038|10,00001038,10
00001039|01,00001039,1
00001039|02,00001039,2
00001039|03,00001039,3
00001039|04,00001039,4
00001039|05,00001039,5
00001039|06,00001039,6
00001039|07,00001039,7
00001039|08,00001039,8
00001039|09,00001039,9
00001039|10,00001039,10
00001040|01,00001040,1
00001040|02,00001040,2
00001040|03,00001040,3
00001040|04,00001040,4
00001040|06,00001040,6
00001040|07,00001040,7
00001040|08,00001040,8
00001040|09,00001040,9
00001041|01,00001041,1
00001041|02,00001041,2
00001041|03,00001041,3
00001041|04,00001041,4
00001041|05,00001041,5
00001041|06,00001041,6
00001041|07,00001041,7
00001041|08,00001041,8
00001041|09,00001041,9
00001041|10,00001041,10
00001042|01,00001042,1
00001042|02,00001042,2
00001042|03,00001042,3
00001042|04,00001042,4
00001042|05,00001042,5
00001042|06,00001042,6
00001042|07,00001042,7
00001042|08,00001042,8
00001042|09,00001042,9
00001042|10,00001042,10
00001043|01,00001043,1
00001043|02,00001043,2
00001043|03,00001043,3
00001043|04,00001043,4
00001043|05,00001043,5
00001043|06,00001043,6
00001043|07,00001043,7
00001043|08,00001043,8
00001043|09,00001043,9
00001043|10,00001043,10
00001044|01,00001044,1
00001044|02,00001044,2
00001044|03,00001044,3
00001044|04,00001044,4
00001044|05,00001044,5
00001044|06,00001044,6
00001044|07,00001044,7
00001044|08,00001044,8
00001044|09,00001044,9
00001044|10,00001044,10
00001045|01,00001045,1
00001045|02,00001045,2
00001045|03,00001045,3
00001045|04,00001045,4
00001045|05,00001045,5
00001045|06,00001045,6
00001045|07,00001045,7
00001045|08,00001045,8
00001045|09,00001045,9
00001046|01,00001046,1
00001046|02,00001046,2
00001046|03,00001046,3
00001046|04,00001046,4
00001046|05,00001046,5
00001046|06,00001046,6
00001046|07,00001046,7
00001046|08,00001046,8
00001046|09,00001046,9
00001046|10,00001046,10
00001047|01,00001047,1
00001047|02,00001047,2
00001047|03,00001047,3
00001047|04,00001047,4
00001047|05,00001047,5
00001047|06,00001047,6
00001047|07,00001047,7
00001047|08,00001047,8
00001047|09,00001047,9
00001047|10,00001047,10
00001048|01,00001048,1
00001048|02,00001048,2
00001048|03,00001048,3
00001048|04,00001048,4
00001048|05,00001048,5
00001048|06,00001048,6
00001048|07,00001048,7
00001048|08,00001048,8
00001048|09,00001048,9
00001048|10,00001048,10
00001049|01,00001049,1
00001049|02,00001049,2
00001049|03,00001049,3
00001049|04,00001049,4
00001049|05,00001049,5
00001049|06,00001049,6
00001049|07,00001049,7
00001049|08,00001049,8
00001049|09,00001049,9
00001049|10,00001049,10
00001050|01,00001050,1
00001050|02,00001050,2
00001050|03,00001050,3
00001050|04,00001050,4
00001050|05,00001050,5
00001050|06,00001050,6
00001050|07,00001050,7
00001050|08,00001050,8
00001050|09,00001050,9
00001051|01,00001051,1
00001051|04,00001051,4
00001051|05,00001051,5
00001051|06,00001051,6
00001051|07,00001051,7
00001051|08,00001051,8
00001051|09,00001051,9
00001051|10,00001051,10
00001052|01,00001052,1
00001052|02,00001052,2
00001052|03,00001052,3
00001052|04,00001052,4
00001052|05,00001052,5
00001052|06,00001052,6
00001052|07,00001052,7
00001052|08,00001052,8
00001052|09,00001052,9
00001052|10,00001052,10
00001053|01,00001053,1
00001053|02,00001053,2
00001053|03,00001053,3
00001053|04,00001053,4
00001053|05,00001053,5
00001053|06,00001053,6
00001053|07,00001053,7
00001053|08,00001053,8
00001053|09,00001053,9
00001053|10,00001053,10
00001054|01,00001054,1
00001054|02,00001054,2
00001054|03,00001054,3
00001054|04,00001054,4
00001054|05,00001054,5
00001054|06,00001054,6
00001054|07,00001054,7
00001054|08,00001054,8
00001054|09,00001054,9
00001054|10,00001054,10
00001055|01,00001055,1
00001055|02,00001055,2
00001055|03,00001055,3
00001055|04,00001055,4
00001055|06,00001055,6
00001055|07,00001055,7
00001055|08,00001055,8
00001055|09,00001055,9
00001055|10,00001055,10
00001056|01,00001056,1
00001056|02,00001056,2
00001056|03,00001056,3
00001056|04,00001056,4
00001056|05,00001056,5
00001056|06,00001056,6
00001056|07,00001056,7
00001056|08,00001056,8
00001056|09,00001056,9
00001056|10,00001056,10
00001057|01,00001057,1
00001057|02,00001057,2
00001057|03,00001057,3
00001057|04,00001057,4
00001057|05,00001057,5
00001057|06,00001057,6
00001057|07,00001057,7
00001057|08,00001057,8
00001057|09,00001057,9
00001057|10,00001057,10
00001058|01,00001058,1
00001058|02,00001058,2
00001058|03,00001058,3
00001058|04,00001058,4
00001058|05,00001058,5
00001058|06,00001058,6
00001058|07,00001058,7
00001058|08,00001058,8
00001058|09,00001058,9
00001058|10,00001058,10
00001059|01,00001059,1
00001059|02,00001059,2
00001059|03,00001059,3
00001059|04,00001059,4
00001059|05,00001059,5
00001059|06,00001059,6
00001059|07,00001059,7
00001059|08,00001059,8
00001059|09,00001059,9
00001059|10,00001059,10
00001060|01,00001060,1
00001060|02,00001060,2
00001060|03,00001060,3
00001060|04,00001060,4
00001060|05,00001060,5
00001060|06,00001060,6
00001060|07,00001060,7
00001060|08,00001060,8
00001060|09,00001060,9
00001060|10,00001060,10
00001061|01,00001061,1
00001061|02,00001061,2
00001061|03,00001061,3
00001061|04,00001061,4
00001061|05,00001061,5
00001061|06,00001061,6
00001061|07,00001061,7
00001061|08,00001061,8
00001061|09,00001061,9
00001061|10,00001061,10
00001062|01,00001062,1
00001062|02,00001062,2
00001062|03,00001062,3
00001062|04,00001062,4
00001062|05,00001062,5
00001062|06,00001062,6
00001062|07,00001062,7
00001062|08,00001062,8
00001062|09,00001062,9
00001062|10,00001062,10
00001063|01,00001063,1
00001063|02,00001063,2
00001063|03,00001063,3
00001063|04,00001063,4
00001063|05,00001063,5
00001063|06,00001063,6
00001063|07,00001063,7
00001063|08,00001063,8
00001063|09,00001063,9
00001063|10,00001063,10
00001064|01,00001064,1
00001064|05,00001064,5
00001064|06,00001064,6
00001064|07,00001064,7
00001064|08,00001064,8
00001064|09,00001064,9
00001064|10,00001064,10
00001065|01,00001065,1
00001065|02,00001065,2
00001065|03,00001065,3
00001065|04,00001065,4
00001065|05,00001065,5
00001065|06,00001065,6
00001065|07,00001065,7
00001065|08,00001065,8
00001065|09,00001065,9
00001065|10,00001065,10
00001066|01,00001066,1
00001066|02,00001066,2
00001066|03,00001066,3
00001066|04,00001066,4
00001066|05,00001066,5
00001066|06,00001066,6
00001066|07,00001066,7
00001066|08,00001066,8
00001066|09,00001066,9
00001066|10,00001066,10
00001067|01,00001067,1
00001067|02,00001067,2
00001067|03,00001067,3
00001067|04,00001067,4
00001067|05,00001067,5
00001067|06,00001067,6
00001067|07,00001067,7
00001067|08,00001067,8
00001067|09,00001067,9
00001067|10,00001067,10
00001068|01,00001068,1
00001068|02,00001068,2
00001068|03,00001068,3
00001068|04,00001068,4
00001068|05,00001068,5
00001068|06,00001068,6
00001068|07,00001068,7
00001068|08,00001068,8
00001068|09,00001068,9
00001068|10,00001068,10
00001069|01,00001069,1
00001069|02,00001069,2
00001069|03,00001069,3
00001069|04,00001069,4
00001069|05,00001069,5
00001069|06,00001069,6
00001069|07,00001069,7
00001069|08,00001069,8
00001069|09,00001069,9
00001069|10,00001069,10
00001070|01,00001070,1
00001070|02,00001070,2
00001070|03,00001070,3
00001070|04,00001070,4
00001070|05,00001070,5
00001070|06,00001070,6
00001070|07,00001070,7
00001070|08,00001070,8
00001070|09,00001070,9
00001070|10,00001070,10
00001071|01,00001071,1
00001071|02,00001071,2
00001071|03,00001071,3
00001071|04,00001071,4
00001071|05,00001071,5
00001071|06,00001071,6
00001071|07,00001071,7
00001071|08,00001071,8
00001071|09,00001071,9
00001071|10,00001071,10
00001072|01,00001072,1
00001072|02,00001072,2
00001072|03,00001072,3
00001072|04,00001072,4
00001072|05,00001072,5
00001072|06,00001072,6
00001072|07,00001072,7
00001072|08,00001072,8
00001072|09,00001072,9
00001072|10,00001072,10
00001073|01,00001073,1
00001073|02,00001073,2
00001073|03,00001073,3
00001073|04,00001073,4
00001073|05,00001073,5
00001073|06,00001073,6
00001073|07,00001073,7
00001073|08,00001073,8
00001073|09,00001073,9
00001073|10,00001073,10
00001074|01,00001074,1
00001074|02,00001074,2
00001074|03,00001074,3
00001074|04,00001074,4
00001074|05,00001074,5
00001074|06,00001074,6
00001074|07,00001074,7
00001074|08,00001074,8
00001074|09,00001074,9
00001074|10,00001074,10
00001075|01,00001075,1
00001075|02,00001075,2
00001075|03,00001075,3
00001075|04,00001075,4
00001075|05,00001075,5
00001075|06,00001075,6
00001075|07,00001075,7
00001075|08,00001075,8
00001075|09,00001075,9
00001075|10,00001075,10
00001076|01,00001076,1
00001076|02,00001076,2
00001076|03,00001076,3
00001076|04,00001076,4
00001076|05,00001076,5
00001076|06,00001076,6
00001076|07,00001076,7
00001076|08,00001076,8
00001076|09,00001076,9
00001076|10,00001076,10
00001077|01,00001077,1
00001077|02,00001077,2
00001077|03,00001077,3
00001077|04,00001077,4
00001077|05,00001077,5
00001077|06,00001077,6
00001077|07,00001077,7
00001077|08,00001077,8
00001077|09,00001077,9
00001077|10,00001077,10
00001078|01,00001078,1
00001078|02,00001078,2
00001078|03,00001078,3
00001078|04,00001078,4
00001078|05,00001078,5
00001078|06,00001078,6
00001078|07,00001078,7
00001078|08,00001078,8
00001078|09,00001078,9
00001078|10,00001078,10
00001079|01,00001079,1
00001079|02,00001079,2
00001079|03,00001079,3
00001079|04,00001079,4
00001079|05,00001079,5
00001079|06,00001079,6
00001079|07,00001079,7
00001079|08,00001079,8
00001079|09,00001079,9
00001079|10,00001079,10
00001080|01,00001080,1
00001080|02,00001080,2
00001080|03,00001080,3
00001080|04,00001080,4
00001080|05,00001080,5
00001080|06,00001080,6
00001080|07,00001080,7
00001080|08,00001080,8
00001080|09,00001080,9
00001080|10,00001080,10
00001081|01,00001081,1
00001081|02,00001081,2
00001081|03,00001081,3
00001081|04,00001081,4
00001081|05,00001081,5
00001081|06,00001081,6
00001081|07,00001081,7
00001081|08,00001081,8
00001081|09,00001081,9
00001081|10,00001081,10
00001082|01,00001082,1
00001082|02,00001082,2
00001082|03,00001082,3
00001082|04,00001082,4
00001082|05,00001082,5
00001082|06,00001082,6
00001082|07,00001082,7
00001082|08,00001082,8
00001082|09,00001082,9
00001082|10,00001082,10
00001083|02,00001083,2
00001083|03,00001083,3
00001083|04,00001083,4
00001083|05,00001083,5
00001083|07,00001083,7
00001083|08,00001083,8
00001083|09,00001083,9
00001083|10,00001083,10
00001084|01,00001084,1
00001084|02,00001084,2
00001084|03,00001084,3
00001084|04,00001084,4
00001084|05,00001084,5
00001084|06,00001084,6
00001084|07,00001084,7
00001084|08,00001084,8
00001084|09,00001084,9
00001084|10,00001084,10
00001085|01,00001085,1
00001085|02,00001085,2
00001085|03,00001085,3
00001085|04,00001085,4
00001085|05,00001085,5
00001085|06,00001085,6
00001085|07,00001085,7
00001085|08,00001085,8
00001085|09,00001085,9
00001085|10,00001085,10
00001086|01,00001086,1
00001086|02,00001086,2
00001086|03,00001086,3
00001086|04,00001086,4
00001086|05,00001086,5
00001086|06,00001086,6
00001086|07,00001086,7
00001086|08,00001086,8
00001086|09,00001086,9
00001086|10,00001086,10
00001087|01,00001087,1
00001087|02,00001087,2
00001087|03,00001087,3
00001087|04,00001087,4
00001087|05,00001087,5
00001087|06,00001087,6
00001087|07,00001087,7
00001087|08,00001087,8
00001087|09,00001087,9
00001087|10,00001087,10
00001088|01,00001088,1
00001088|02,00001088,2
00001088|03,00001088,3
00001088|04,00001088,4
00001088|05,00001088,5
00001088|06,00001088,6
00001088|07,00001088,7
00001088|08,00001088,8
00001088|09,00001088,9
00001088|10,00001088,10
00001089|01,00001089,1
00001089|02,00001089,2
00001089|03,00001089,3
00001089|04,00001089,4
00001089|05,00001089,5
00001089|06,00001089,6
00001089|07,00001089,7
00001089|08,00001089,8
00001089|09,00001089,9
00001089|10,00001089,10
00001090|02,00001090,2
00001090|03,00001090,3
00001090|04,00001090,4
00001090|05,00001090,5
00001090|07,00001090,7
00001090|08,00001090,8
00001090|09,00001090,9
00001091|01,00001091,1
00001091|02,00001091,2
00001091|03,00001091,3
00001091|04,00001091,4
00001091|05,00001091,5
00001091|06,00001091,6
00001091|07,00001091,7
00001091|08,00001091,8
00001091|09,00001091,9
00001091|10,00001091,10
00001092|01,00001092,1
00001092|02,00001092,2
00001092|03,00001092,3
00001092|04,00001092,4
00001092|05,00001092,5
00001092|06,00001092,6
00001092|07,00001092,7
00001092|08,00001092,8
00001092|09,00001092,9
00001092|10,00001092,10
00001093|01,00001093,1
00001093|02,00001093,2
00001093|03,00001093,3
00001093|04,00001093,4
00001093|05,00001093,5
00001093|06,00001093,6
00001093|07,00001093,7
00001093|08,00001093,8
00001093|09,00001093,9
00001093|10,00001093,10
00001094|01,00001094,1
00001094|02,00001094,2
00001094|03,00001094,3
00001094|04,00001094,4
00001094|05,00001094,5
00001094|06,00001094,6
00001094|07,00001094,7
00001094|08,00001094,8
00001094|09,00001094,9
00001094|10,00001094,10
00001095|01,00001095,1
00001095|02,00001095,2
00001095|03,00001095,3
00001095|04,00001095,4
00001095|05,00001095,5
00001095|06,00001095,6
00001095|07,00001095,7
00001095|08,00001095,8
00001095|09,00001095,9
00001095|10,00001095,10
00001096|01,00001096,1
00001096|02,00001096,2
00001096|03,00001096,3
00001096|04,00001096,4
00001096|05,00001096,5
00001096|06,00001096,6
00001096|07,00001096,7
00001096|08,00001096,8
00001096|09,00001096,9
00001096|10,00001096,10
00001097|01,00001097,1
00001097|02,00001097,2
00001097|03,00001097,3
00001097|04,00001097,4
00001097|05,00001097,5
00001097|06,00001097,6
00001097|07,00001097,7
00001097|08,00001097,8
00001097|09,00001097,9
00001097|10,00001097,10
00001098|01,00001098,1
00001098|02,00001098,2
00001098|03,00001098,3
00001098|04,00001098,4
00001098|05,00001098,5
00001098|06,00001098,6
00001098|07,00001098,7
00001098|08,00001098,8
00001098|09,00001098,9
00001098|10,00001098,10
00001099|01,00001099,1
00001099|02,00001099,2
00001099|03,00001099,3
00001099|04,00001099,4
00001099|05,00001099,5
00001099|06,00001099,6
00001099|07,00001099,7
00001099|08,00001099,8
00001099|09,00001099,9
00001099|10,00001099,10
00001100|01,00001100,1
00001100|02,00001100,2
00001100|03,00001100,3
00001100|04,00001100,4
00001100|05,00001100,5
00001100|06,00001100,6
00001100|07,00001100,7
00001100|08,00001100,8
00001100|09,00001100,9
00001100|10,00001100,10
00001101|01,00001101,1
00001101|02,00001101,2
00001101|03,00001101,3
00001101|04,00001101,4
00001101|05,00001101,5
00001101|06,00001101,6
00001101|07,00001101,7
00001101|08,00001101,8
00001101|09,00001101,9
00001101|10,00001101,10
00001102|01,00001102,1
00001102|02,00001102,2
00001102|03,00001102,3
00001102|04,00001102,4
00001102|05,00001102,5
00001102|06,00001102,6
00001102|07,00001102,7
00001102|08,00001102,8
00001102|09,00001102,9
00001102|10,00001102,10
00001103|01,00001103,1
00001103|02,00001103,2
00001103|03,00001103,3
00001103|04,00001103,4
00001103|05,00001103,5
00001103|06,00001103,6
00001103|07,00001103,7
00001103|08,00001103,8
00001103|09,00001103,9
00001103|10,00001103,10
00001104|01,00001104,1
00001104|02,00001104,2
00001104|03,00001104,3
00001104|04,00001104,4
00001104|05,00001104,5
00001104|06,00001104,6
00001104|07,00001104,7
00001104|08,00001104,8
00001104|09,00001104,9
00001104|10,00001104,10
00001105|01,00001105,1
00001105|02,00001105,2
00001105|03,00001105,3
00001105|04,00001105,4
00001105|05,00001105,5
00001105|06,00001105,6
00001105|07,00001105,7
00001105|08,00001105,8
00001105|09,00001105,9
00001105|10,00001105,10
00001106|01,00001106,1
00001106|02,00001106,2
00001106|03,00001106,3
00001106|04,00001106,4
00001106|05,00001106,5
00001106|06,00001106,6
00001106|07,00001106,7
00001106|08,00001106,8
00001106|09,00001106,9
00001106|10,00001106,10
00001107|01,00001107,1
00001107|02,00001107,2
00001107|03,00001107,3
00001107|04,00001107,4
00001107|05,00001107,5
00001107|06,00001107,6
00001107|07,00001107,7
00001107|08,00001107,8
00001107|09,00001107,9
00001107|10,00001107,10
00001108|01,00001108,1
00001108|02,00001108,2
00001108|03,00001108,3
00001108|04,00001108,4
00001108|05,00001108,5
00001108|06,00001108,6
00001108|07,00001108,7
00001108|08,00001108,8
00001108|09,00001108,9
00001108|10,00001108,10
00001109|01,00001109,1
00001109|02,00001109,2
00001109|03,00001109,3
00001109|04,00001109,4
00001109|05,00001109,5
00001109|06,00001109,6
00001109|07,00001109,7
00001109|08,00001109,8
00001109|09,00001109,9
00001109|10,00001109,10
00001110|01,00001110,1
00001110|02,00001110,2
00001110|03,00001110,3
00001110|04,00001110,4
00001110|05,00001110,5
00001110|06,00001110,6
00001110|07,00001110,7
00001110|08,00001110,8
00001110|09,00001110,9
00001110|10,00001110,10
00001111|01,00001111,1
00001111|02,00001111,2
00001111|03,00001111,3
00001111|04,00001111,4
00001111|05,00001111,5
00001111|06,00001111,6
00001111|07,00001111,7
00001111|08,00001111,8
00001111|09,00001111,9
00001111|10,00001111,10
00001112|01,00001112,1
00001112|02,00001112,2
00001112|03,00001112,3
00001112|04,00001112,4
00001112|05,00001112,5
00001112|06,00001112,6
00001112|07,00001112,7
00001112|08,00001112,8
00001112|09,00001112,9
00001112|10,00001112,10
00001113|01,00001113,1
00001113|02,00001113,2
00001113|03,00001113,3
00001113|04,00001113,4
00001113|05,00001113,5
00001113|06,00001113,6
00001113|07,00001113,7
00001113|08,00001113,8
00001113|09,00001113,9
00001113|10,00001113,10
00001114|01,00001114,1
00001114|02,00001114,2
00001114|03,00001114,3
00001114|04,00001114,4
00001114|05,00001114,5
00001114|06,00001114,6
00001114|07,00001114,7
00001114|08,00001114,8
00001114|09,00001114,9
00001114|10,00001114,10
00001115|01,00001115,1
00001115|02,00001115,2
00001115|03,00001115,3
00001115|04,00001115,4
00001115|05,00001115,5
00001115|06,00001115,6
00001115|07,00001115,7
00001115|08,00001115,8
00001115|09,00001115,9
00001115|10,00001115,10
00001116|01,00001116,1
00001116|02,00001116,2
00001116|03,00001116,3
00001116|04,00001116,4
00001116|05,00001116,5
00001116|06,00001116,6
00001116|07,00001116,7
00001116|08,00001116,8
00001116|09,00001116,9
00001116|10,00001116,10
00001117|01,00001117,1
00001117|02,00001117,2
00001117|03,00001117,3
00001117|04,00001117,4
00001117|05,00001117,5
00001117|06,00001117,6
00001117|07,00001117,7
00001117|08,00001117,8
00001117|09,00001117,9
00001117|10,00001117,10
00001118|01,00001118,1
00001118|02,00001118,2
00001118|03,00001118,3
