accuracy_pair_id,pair_label,dataset,split,canonical_finger_position,subject_id_a,subject_id_b,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b,source_pair_id_a,source_pair_id_b
shared_gen_00001005_09,genuine,sd300c,development,9,00001005,00001005,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_09.png,sd300c_plain_roll_00001005_09,sd300c_plain_roll_00001005_09
shared_gen_00001005_10,genuine,sd300c,development,10,00001005,00001005,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_10.png,sd300c_plain_roll_00001005_10,sd300c_plain_roll_00001005_10
shared_gen_00001006_01,genuine,sd300c,development,1,00001006,00001006,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_01.png,sd300c_plain_roll_00001006_01,sd300c_plain_roll_00001006_01
shared_gen_00001006_02,genuine,sd300c,development,2,00001006,00001006,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_02.png,sd300c_plain_roll_00001006_02,sd300c_plain_roll_00001006_02
shared_gen_00001006_03,genuine,sd300c,development,3,00001006,00001006,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_03.png,sd300c_plain_roll_00001006_03,sd300c_plain_roll_00001006_03
shared_gen_00001006_04,genuine,sd300c,development,4,00001006,00001006,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_04.png,sd300c_plain_roll_00001006_04,sd300c_plain_roll_00001006_04
shared_gen_00001006_05,genuine,sd300c,development,5,00001006,00001006,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_05.png,sd300c_plain_roll_00001006_05,sd300c_plain_roll_00001006_05
shared_gen_00001006_06,genuine,sd300c,development,6,00001006,00001006,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_06.png,sd300c_plain_roll_00001006_06,sd300c_plain_roll_00001006_06
shared_gen_00001006_07,genuine,sd300c,development,7,00001006,00001006,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_07.png,sd300c_plain_roll_00001006_07,sd300c_plain_roll_00001006_07
shared_gen_00001006_08,genuine,sd300c,development,8,00001006,00001006,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_08.png,sd300c_plain_roll_00001006_08,sd300c_plain_roll_00001006_08
shared_gen_00001006_09,genuine,sd300c,development,9,00001006,00001006,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_09.png,sd300c_plain_roll_00001006_09,sd300c_plain_roll_00001006_09
shared_gen_00001006_10,genuine,sd300c,development,10,00001006,00001006,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_10.png,sd300c_plain_roll_00001006_10,sd300c_plain_roll_00001006_10
shared_gen_00001008_01,genuine,sd300c,development,1,00001008,00001008,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_01.png,sd300c_plain_roll_00001008_01,sd300c_plain_roll_00001008_01
shared_gen_00001008_02,genuine,sd300c,development,2,00001008,00001008,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_02.png,sd300c_plain_roll_00001008_02,sd300c_plain_roll_00001008_02
shared_gen_00001008_03,genuine,sd300c,development,3,00001008,00001008,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_03.png,sd300c_plain_roll_00001008_03,sd300c_plain_roll_00001008_03
shared_gen_00001008_04,genuine,sd300c,development,4,00001008,00001008,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_04.png,sd300c_plain_roll_00001008_04,sd300c_plain_roll_00001008_04
shared_gen_00001008_05,genuine,sd300c,development,5,00001008,00001008,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_05.png,sd300c_plain_roll_00001008_05,sd300c_plain_roll_00001008_05
shared_gen_00001008_06,genuine,sd300c,development,6,00001008,00001008,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_06.png,sd300c_plain_roll_00001008_06,sd300c_plain_roll_00001008_06
shared_gen_00001008_07,genuine,sd300c,development,7,00001008,00001008,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_07.png,sd300c_plain_roll_00001008_07,sd300c_plain_roll_00001008_07
shared_gen_00001008_08,genuine,sd300c,development,8,00001008,00001008,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_08.png,sd300c_plain_roll_00001008_08,sd300c_plain_roll_00001008_08
shared_gen_00001008_09,genuine,sd300c,development,9,00001008,00001008,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_09.png,sd300c_plain_roll_00001008_09,sd300c_plain_roll_00001008_09
shared_gen_00001008_10,genuine,sd300c,development,10,00001008,00001008,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_10.png,sd300c_plain_roll_00001008_10,sd300c_plain_roll_00001008_10
shared_gen_00001011_01,genuine,sd300c,development,1,00001011,00001011,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_01.png,sd300c_plain_roll_00001011_01,sd300c_plain_roll_00001011_01
shared_gen_00001011_02,genuine,sd300c,development,2,00001011,00001011,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_02.png,sd300c_plain_roll_00001011_02,sd300c_plain_roll_00001011_02
shared_gen_00001011_03,genuine,sd300c,development,3,00001011,00001011,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_03.png,sd300c_plain_roll_00001011_03,sd300c_plain_roll_00001011_03
shared_gen_00001011_04,genuine,sd300c,development,4,00001011,00001011,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_04.png,sd300c_plain_roll_00001011_04,sd300c_plain_roll_00001011_04
shared_gen_00001011_05,genuine,sd300c,development,5,00001011,00001011,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_05.png,sd300c_plain_roll_00001011_05,sd300c_plain_roll_00001011_05
shared_gen_00001011_06,genuine,sd300c,development,6,00001011,00001011,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_06.png,sd300c_plain_roll_00001011_06,sd300c_plain_roll_00001011_06
shared_gen_00001011_07,genuine,sd300c,development,7,00001011,00001011,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_07.png,sd300c_plain_roll_00001011_07,sd300c_plain_roll_00001011_07
shared_gen_00001011_08,genuine,sd300c,development,8,00001011,00001011,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_08.png,sd300c_plain_roll_00001011_08,sd300c_plain_roll_00001011_08
shared_gen_00001011_09,genuine,sd300c,development,9,00001011,00001011,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_09.png,sd300c_plain_roll_00001011_09,sd300c_plain_roll_00001011_09
shared_gen_00001011_10,genuine,sd300c,development,10,00001011,00001011,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_10.png,sd300c_plain_roll_00001011_10,sd300c_plain_roll_00001011_10
shared_gen_00001017_01,genuine,sd300c,development,1,00001017,00001017,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_01.png,sd300c_plain_roll_00001017_01,sd300c_plain_roll_00001017_01
shared_gen_00001017_02,genuine,sd300c,development,2,00001017,00001017,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_02.png,sd300c_plain_roll_00001017_02,sd300c_plain_roll_00001017_02
shared_gen_00001017_03,genuine,sd300c,development,3,00001017,00001017,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_03.png,sd300c_plain_roll_00001017_03,sd300c_plain_roll_00001017_03
shared_gen_00001017_04,genuine,sd300c,development,4,00001017,00001017,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_04.png,sd300c_plain_roll_00001017_04,sd300c_plain_roll_00001017_04
shared_gen_00001017_05,genuine,sd300c,development,5,00001017,00001017,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_05.png,sd300c_plain_roll_00001017_05,sd300c_plain_roll_00001017_05
shared_gen_00001017_06,genuine,sd300c,development,6,00001017,00001017,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_06.png,sd300c_plain_roll_00001017_06,sd300c_plain_roll_00001017_06
shared_gen_00001017_07,genuine,sd300c,development,7,00001017,00001017,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_07.png,sd300c_plain_roll_00001017_07,sd300c_plain_roll_00001017_07
shared_gen_00001017_08,genuine,sd300c,development,8,00001017,00001017,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_08.png,sd300c_plain_roll_00001017_08,sd300c_plain_roll_00001017_08
shared_gen_00001017_09,genuine,sd300c,development,9,00001017,00001017,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_09.png,sd300c_plain_roll_00001017_09,sd300c_plain_roll_00001017_09
shared_gen_00001017_10,genuine,sd300c,development,10,00001017,00001017,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_10.png,sd300c_plain_roll_00001017_10,sd300c_plain_roll_00001017_10
shared_gen_00001019_01,genuine,sd300c,development,1,00001019,00001019,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_01.png,sd300c_plain_roll_00001019_01,sd300c_plain_roll_00001019_01
shared_gen_00001019_02,genuine,sd300c,development,2,00001019,00001019,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_02.png,sd300c_plain_roll_00001019_02,sd300c_plain_roll_00001019_02
shared_gen_00001019_03,genuine,sd300c,development,3,00001019,00001019,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_03.png,sd300c_plain_roll_00001019_03,sd300c_plain_roll_00001019_03
shared_gen_00001019_04,genuine,sd300c,development,4,00001019,00001019,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_04.png,sd300c_plain_roll_00001019_04,sd300c_plain_roll_00001019_04
shared_gen_00001019_05,genuine,sd300c,development,5,00001019,00001019,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_05.png,sd300c_plain_roll_00001019_05,sd300c_plain_roll_00001019_05
shared_gen_00001019_06,genuine,sd300c,development,6,00001019,00001019,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_06.png,sd300c_plain_roll_00001019_06,sd300c_plain_roll_00001019_06
shared_gen_00001019_07,genuine,sd300c,development,7,00001019,00001019,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_07.png,sd300c_plain_roll_00001019_07,sd300c_plain_roll_00001019_07
shared_gen_00001019_08,genuine,sd300c,development,8,00001019,00001019,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_08.png,sd300c_plain_roll_00001019_08,sd300c_plain_roll_00001019_08
shared_gen_00001019_09,genuine,sd300c,development,9,00001019,00001019,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_09.png,sd300c_plain_roll_00001019_09,sd300c_plain_roll_00001019_09
shared_gen_00001019_10,genuine,sd300c,development,10,00001019,00001019,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_10.png,sd300c_plain_roll_00001019_10,sd300c_plain_roll_00001019_10
shared_gen_00001022_01,genuine,sd300c,development,1,00001022,00001022,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_01.png,sd300c_plain_roll_00001022_01,sd300c_plain_roll_00001022_01
shared_gen_00001022_02,genuine,sd300c,development,2,00001022,00001022,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_02.png,sd300c_plain_roll_00001022_02,sd300c_plain_roll_00001022_02
shared_gen_00001022_03,genuine,sd300c,development,3,00001022,00001022,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_03.png,sd300c_plain_roll_00001022_03,sd300c_plain_roll_00001022_03
shared_gen_00001022_04,genuine,sd300c,development,4,00001022,00001022,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_04.png,sd300c_plain_roll_00001022_04,sd300c_plain_roll_00001022_04
shared_gen_00001022_05,genuine,sd300c,development,5,00001022,00001022,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_05.png,sd300c_plain_roll_00001022_05,sd300c_plain_roll_00001022_05
shared_gen_00001022_06,genuine,sd300c,development,6,00001022,00001022,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_06.png,sd300c_plain_roll_00001022_06,sd300c_plain_roll_00001022_06
shared_gen_00001022_07,genuine,sd300c,development,7,00001022,00001022,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_07.png,sd300c_plain_roll_00001022_07,sd300c_plain_roll_00001022_07
shared_gen_00001022_08,genuine,sd300c,development,8,00001022,00001022,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_08.png,sd300c_plain_roll_00001022_08,sd300c_plain_roll_00001022_08
shared_gen_00001022_09,genuine,sd300c,development,9,00001022,00001022,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_09.png,sd300c_plain_roll_00001022_09,sd300c_plain_roll_00001022_09
shared_gen_00001022_10,genuine,sd300c,development,10,00001022,00001022,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001022_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001022_roll_2000_10.png,sd300c_plain_roll_00001022_10,sd300c_plain_roll_00001022_10
shared_gen_00001023_01,genuine,sd300c,development,1,00001023,00001023,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001023_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001023_roll_2000_01.png,sd300c_plain_roll_00001023_01,sd300c_plain_roll_00001023_01
shared_gen_00001023_02,genuine,sd300c,development,2,00001023,00001023,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001023_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001023_roll_2000_02.png,sd300c_plain_roll_00001023_02,sd300c_plain_roll_00001023_02
shared_gen_00001023_03,genuine,sd300c,development,3,00001023,00001023,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001023_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001023_roll_2000_03.png,sd300c_plain_roll_00001023_03,sd300c_plain_roll_00001023_03
shared_gen_00001023_04,genuine,sd300c,development,4,00001023,00001023,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001023_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001023_roll_2000_04.png,sd300c_plain_roll_00001023_04,sd300c_plain_roll_00001023_04
shared_gen_00001023_05,genuine,sd300c,development,5,00001023,00001023,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001023_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001023_roll_2000_05.png,sd300c_plain_roll_00001023_05,sd300c_plain_roll_00001023_05
