pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300b_roll_self_00001108_02,sd300b,roll_self,00001108,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001108_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001108_roll_1000_02.png
sd300b_roll_self_00001111_01,sd300b,roll_self,00001111,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_01.png
sd300b_roll_self_00001111_02,sd300b,roll_self,00001111,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_02.png
sd300b_roll_self_00001111_03,sd300b,roll_self,00001111,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_03.png
sd300b_roll_self_00001111_04,sd300b,roll_self,00001111,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_04.png
sd300b_roll_self_00001111_05,sd300b,roll_self,00001111,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_05.png
sd300b_roll_self_00001111_06,sd300b,roll_self,00001111,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_06.png
sd300b_roll_self_00001111_07,sd300b,roll_self,00001111,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_07.png
sd300b_roll_self_00001111_08,sd300b,roll_self,00001111,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_08.png
sd300b_roll_self_00001111_09,sd300b,roll_self,00001111,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001111_roll_1000_09.png
sd300b_roll_self_00001113_03,sd300b,roll_self,00001113,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001113_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001113_roll_1000_03.png
sd300b_roll_self_00001119_02,sd300b,roll_self,00001119,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_02.png
sd300b_roll_self_00001119_03,sd300b,roll_self,00001119,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_03.png
sd300b_roll_self_00001119_04,sd300b,roll_self,00001119,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_04.png
sd300b_roll_self_00001119_05,sd300b,roll_self,00001119,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_05.png
sd300b_roll_self_00001119_06,sd300b,roll_self,00001119,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_06.png
sd300b_roll_self_00001119_07,sd300b,roll_self,00001119,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_07.png
sd300b_roll_self_00001119_08,sd300b,roll_self,00001119,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_08.png
sd300b_roll_self_00001119_09,sd300b,roll_self,00001119,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_09.png
sd300b_roll_self_00001119_10,sd300b,roll_self,00001119,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001119_roll_1000_10.png
sd300b_roll_self_00001127_07,sd300b,roll_self,00001127,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001127_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001127_roll_1000_07.png
sd300b_roll_self_00001134_03,sd300b,roll_self,00001134,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001134_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001134_roll_1000_03.png
sd300b_roll_self_00001137_03,sd300b,roll_self,00001137,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001137_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001137_roll_1000_03.png
sd300b_roll_self_00001137_09,sd300b,roll_self,00001137,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001137_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001137_roll_1000_09.png
sd300b_roll_self_00001141_03,sd300b,roll_self,00001141,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_03.png
sd300b_roll_self_00001141_04,sd300b,roll_self,00001141,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_04.png
sd300b_roll_self_00001141_05,sd300b,roll_self,00001141,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_05.png
sd300b_roll_self_00001141_08,sd300b,roll_self,00001141,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_08.png
sd300b_roll_self_00001141_09,sd300b,roll_self,00001141,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_09.png
sd300b_roll_self_00001141_10,sd300b,roll_self,00001141,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001141_roll_1000_10.png
sd300b_roll_self_00001145_10,sd300b,roll_self,00001145,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001145_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001145_roll_1000_10.png
sd300b_roll_self_00001153_10,sd300b,roll_self,00001153,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001153_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001153_roll_1000_10.png
sd300b_roll_self_00001154_01,sd300b,roll_self,00001154,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001154_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001154_roll_1000_01.png
sd300b_roll_self_00001172_07,sd300b,roll_self,00001172,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001172_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001172_roll_1000_07.png
sd300b_roll_self_00001173_01,sd300b,roll_self,00001173,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001173_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001173_roll_1000_01.png
sd300b_roll_self_00001186_05,sd300b,roll_self,00001186,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001186_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001186_roll_1000_05.png
sd300b_roll_self_00001186_06,sd300b,roll_self,00001186,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001186_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001186_roll_1000_06.png
sd300b_roll_self_00001188_09,sd300b,roll_self,00001188,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001188_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001188_roll_1000_09.png
sd300b_roll_self_00001194_03,sd300b,roll_self,00001194,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001194_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001194_roll_1000_03.png
sd300b_roll_self_00001194_04,sd300b,roll_self,00001194,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001194_roll_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001194_roll_1000_04.png
sd300b_roll_self_00001194_05,sd300b,roll_self,00001194,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001194_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001194_roll_1000_05.png
sd300b_roll_self_00001194_10,sd300b,roll_self,00001194,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001194_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001194_roll_1000_10.png
sd300b_roll_self_00001204_09,sd300b,roll_self,00001204,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001204_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001204_roll_1000_09.png
sd300b_roll_self_00001204_10,sd300b,roll_self,00001204,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001204_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001204_roll_1000_10.png
sd300b_roll_self_00001206_01,sd300b,roll_self,00001206,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001206_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001206_roll_1000_01.png
sd300b_roll_self_00001223_10,sd300b,roll_self,00001223,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001223_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001223_roll_1000_10.png
sd300b_roll_self_00001224_05,sd300b,roll_self,00001224,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001224_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001224_roll_1000_05.png
sd300b_roll_self_00001231_07,sd300b,roll_self,00001231,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001231_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001231_roll_1000_07.png
sd300b_roll_self_00001232_01,sd300b,roll_self,00001232,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001232_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001232_roll_1000_01.png
sd300b_roll_self_00001232_04,sd300b,roll_self,00001232,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001232_roll_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001232_roll_1000_04.png
sd300b_roll_self_00001232_05,sd300b,roll_self,00001232,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001232_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001232_roll_1000_05.png
sd300b_roll_self_00001233_09,sd300b,roll_self,00001233,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001233_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001233_roll_1000_09.png
sd300b_roll_self_00001241_03,sd300b,roll_self,00001241,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001241_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001241_roll_1000_03.png
sd300b_roll_self_00001243_02,sd300b,roll_self,00001243,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001243_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001243_roll_1000_02.png
sd300b_roll_self_00001254_06,sd300b,roll_self,00001254,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001254_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001254_roll_1000_06.png
sd300b_roll_self_00001260_06,sd300b,roll_self,00001260,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001260_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001260_roll_1000_06.png
sd300b_roll_self_00001266_06,sd300b,roll_self,00001266,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001266_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001266_roll_1000_06.png
sd300b_roll_self_00001266_10,sd300b,roll_self,00001266,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001266_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001266_roll_1000_10.png
sd300b_roll_self_00001277_02,sd300b,roll_self,00001277,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001277_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001277_roll_1000_02.png
sd300b_roll_self_00001281_02,sd300b,roll_self,00001281,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_02.png
sd300b_roll_self_00001281_03,sd300b,roll_self,00001281,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_03.png
sd300b_roll_self_00001281_04,sd300b,roll_self,00001281,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_04.png
sd300b_roll_self_00001281_07,sd300b,roll_self,00001281,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_07.png
sd300b_roll_self_00001281_10,sd300b,roll_self,00001281,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001281_roll_1000_10.png
sd300b_roll_self_00001286_09,sd300b,roll_self,00001286,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001286_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001286_roll_1000_09.png
sd300b_roll_self_00001299_07,sd300b,roll_self,00001299,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001299_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001299_roll_1000_07.png
sd300b_roll_self_00001300_06,sd300b,roll_self,00001300,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001300_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001300_roll_1000_06.png
sd300b_roll_self_00001318_05,sd300b,roll_self,00001318,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_05.png
sd300b_roll_self_00001318_06,sd300b,roll_self,00001318,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_06.png
sd300b_roll_self_00001318_08,sd300b,roll_self,00001318,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_08.png
sd300b_roll_self_00001318_09,sd300b,roll_self,00001318,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_09.png
sd300b_roll_self_00001318_10,sd300b,roll_self,00001318,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001318_roll_1000_10.png
sd300b_roll_self_00001347_04,sd300b,roll_self,00001347,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001347_roll_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001347_roll_1000_04.png
sd300b_roll_self_00001347_07,sd300b,roll_self,00001347,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001347_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001347_roll_1000_07.png
sd300b_roll_self_00001349_03,sd300b,roll_self,00001349,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001349_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001349_roll_1000_03.png
sd300b_roll_self_00001351_06,sd300b,roll_self,00001351,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001351_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001351_roll_1000_06.png
sd300b_roll_self_00001355_10,sd300b,roll_self,00001355,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001355_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001355_roll_1000_10.png
sd300b_roll_self_00001362_02,sd300b,roll_self,00001362,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001362_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001362_roll_1000_02.png
sd300b_roll_self_00001362_10,sd300b,roll_self,00001362,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001362_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001362_roll_1000_10.png
sd300b_roll_self_00001364_07,sd300b,roll_self,00001364,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001364_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001364_roll_1000_07.png
sd300b_roll_self_00001379_01,sd300b,roll_self,00001379,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001379_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001379_roll_1000_01.png
sd300b_roll_self_00001384_10,sd300b,roll_self,00001384,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001384_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001384_roll_1000_10.png
sd300b_roll_self_00001401_06,sd300b,roll_self,00001401,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001401_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001401_roll_1000_06.png
sd300b_roll_self_00001403_02,sd300b,roll_self,00001403,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001403_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001403_roll_1000_02.png
sd300b_roll_self_00001408_06,sd300b,roll_self,00001408,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001408_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001408_roll_1000_06.png
sd300b_roll_self_00001411_07,sd300b,roll_self,00001411,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001411_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001411_roll_1000_07.png
sd300b_roll_self_00001439_02,sd300b,roll_self,00001439,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001439_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001439_roll_1000_02.png
sd300b_roll_self_00001439_05,sd300b,roll_self,00001439,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001439_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001439_roll_1000_05.png
sd300b_roll_self_00001439_06,sd300b,roll_self,00001439,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001439_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001439_roll_1000_06.png
sd300b_roll_self_00001439_10,sd300b,roll_self,00001439,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001439_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001439_roll_1000_10.png
sd300b_roll_self_00001440_06,sd300b,roll_self,00001440,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001440_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001440_roll_1000_06.png
sd300b_roll_self_00001440_10,sd300b,roll_self,00001440,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001440_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001440_roll_1000_10.png
