negative_pair_id,dataset,protocol,pair_label,canonical_finger_position,subject_id_a,subject_id_b,ppi,path_a,path_b,raw_frgp_a,raw_frgp_b,source_plain_pair_id,source_roll_pair_id,plain_group_index,roll_group_index,shift
sd300b_plain_roll_next_subject_impostor_01_00001011_00001012,sd300b,plain_roll_next_subject_impostor,impostor,1,00001011,00001012,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001011_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001012_roll_1000_01.png,11,1,sd300b_plain_roll_00001011_01,sd300b_plain_roll_00001012_01,10,11,1
sd300b_plain_roll_next_subject_impostor_01_00001012_00001013,sd300b,plain_roll_next_subject_impostor,impostor,1,00001012,00001013,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001012_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001013_roll_1000_01.png,11,1,sd300b_plain_roll_00001012_01,sd300b_plain_roll_00001013_01,11,12,1
sd300b_plain_roll_next_subject_impostor_01_00001013_00001014,sd300b,plain_roll_next_subject_impostor,impostor,1,00001013,00001014,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001013_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001014_roll_1000_01.png,11,1,sd300b_plain_roll_00001013_01,sd300b_plain_roll_00001014_01,12,13,1
sd300b_plain_roll_next_subject_impostor_01_00001014_00001015,sd300b,plain_roll_next_subject_impostor,impostor,1,00001014,00001015,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001014_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001015_roll_1000_01.png,11,1,sd300b_plain_roll_00001014_01,sd300b_plain_roll_00001015_01,13,14,1
sd300b_plain_roll_next_subject_impostor_01_00001015_00001016,sd300b,plain_roll_next_subject_impostor,impostor,1,00001015,00001016,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001015_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001016_roll_1000_01.png,11,1,sd300b_plain_roll_00001015_01,sd300b_plain_roll_00001016_01,14,15,1
sd300b_plain_roll_next_subject_impostor_01_00001016_00001017,sd300b,plain_roll_next_subject_impostor,impostor,1,00001016,00001017,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001016_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001017_roll_1000_01.png,11,1,sd300b_plain_roll_00001016_01,sd300b_plain_roll_00001017_01,15,16,1
sd300b_plain_roll_next_subject_impostor_01_00001017_00001018,sd300b,plain_roll_next_subject_impostor,impostor,1,00001017,00001018,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001017_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001018_roll_1000_01.png,11,1,sd300b_plain_roll_00001017_01,sd300b_plain_roll_00001018_01,16,17,1
sd300b_plain_roll_next_subject_impostor_01_00001018_00001019,sd300b,plain_roll_next_subject_impostor,impostor,1,00001018,00001019,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001018_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_01.png,11,1,sd300b_plain_roll_00001018_01,sd300b_plain_roll_00001019_01,17,18,1
sd300b_plain_roll_next_subject_impostor_01_00001019_00001020,sd300b,plain_roll_next_subject_impostor,impostor,1,00001019,00001020,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001020_roll_1000_01.png,11,1,sd300b_plain_roll_00001019_01,sd300b_plain_roll_00001020_01,18,19,1
sd300b_plain_roll_next_subject_impostor_01_00001020_00001021,sd300b,plain_roll_next_subject_impostor,impostor,1,00001020,00001021,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001020_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001021_roll_1000_01.png,11,1,sd300b_plain_roll_00001020_01,sd300b_plain_roll_00001021_01,19,20,1
sd300b_plain_roll_next_subject_impostor_01_00001021_00001022,sd300b,plain_roll_next_subject_impostor,impostor,1,00001021,00001022,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001021_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001022_roll_1000_01.png,11,1,sd300b_plain_roll_00001021_01,sd300b_plain_roll_00001022_01,20,21,1
sd300b_plain_roll_next_subject_impostor_01_00001022_00001023,sd300b,plain_roll_next_subject_impostor,impostor,1,00001022,00001023,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001022_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001023_roll_1000_01.png,11,1,sd300b_plain_roll_00001022_01,sd300b_plain_roll_00001023_01,21,22,1
sd300b_plain_roll_next_subject_impostor_01_00001023_00001024,sd300b,plain_roll_next_subject_impostor,impostor,1,00001023,00001024,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001023_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001024_roll_1000_01.png,11,1,sd300b_plain_roll_00001023_01,sd300b_plain_roll_00001024_01,22,23,1
sd300b_plain_roll_next_subject_impostor_01_00001024_00001025,sd300b,plain_roll_next_subject_impostor,impostor,1,00001024,00001025,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001024_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001025_roll_1000_01.png,11,1,sd300b_plain_roll_00001024_01,sd300b_plain_roll_00001025_01,23,24,1
sd300b_plain_roll_next_subject_impostor_01_00001025_00001026,sd300b,plain_roll_next_subject_impostor,impostor,1,00001025,00001026,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001025_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001026_roll_1000_01.png,11,1,sd300b_plain_roll_00001025_01,sd300b_plain_roll_00001026_01,24,25,1
sd300b_plain_roll_next_subject_impostor_01_00001026_00001027,sd300b,plain_roll_next_subject_impostor,impostor,1,00001026,00001027,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001026_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001027_roll_1000_01.png,11,1,sd300b_plain_roll_00001026_01,sd300b_plain_roll_00001027_01,25,26,1
sd300b_plain_roll_next_subject_impostor_01_00001027_00001028,sd300b,plain_roll_next_subject_impostor,impostor,1,00001027,00001028,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001027_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001028_roll_1000_01.png,11,1,sd300b_plain_roll_00001027_01,sd300b_plain_roll_00001028_01,26,27,1
sd300b_plain_roll_next_subject_impostor_01_00001028_00001029,sd300b,plain_roll_next_subject_impostor,impostor,1,00001028,00001029,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001028_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001029_roll_1000_01.png,11,1,sd300b_plain_roll_00001028_01,sd300b_plain_roll_00001029_01,27,28,1
sd300b_plain_roll_next_subject_impostor_01_00001029_00001030,sd300b,plain_roll_next_subject_impostor,impostor,1,00001029,00001030,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001029_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001030_roll_1000_01.png,11,1,sd300b_plain_roll_00001029_01,sd300b_plain_roll_00001030_01,28,29,1
sd300b_plain_roll_next_subject_impostor_01_00001030_00001031,sd300b,plain_roll_next_subject_impostor,impostor,1,00001030,00001031,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001030_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001031_roll_1000_01.png,11,1,sd300b_plain_roll_00001030_01,sd300b_plain_roll_00001031_01,29,30,1
sd300b_plain_roll_next_subject_impostor_01_00001031_00001032,sd300b,plain_roll_next_subject_impostor,impostor,1,00001031,00001032,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001031_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001032_roll_1000_01.png,11,1,sd300b_plain_roll_00001031_01,sd300b_plain_roll_00001032_01,30,31,1
sd300b_plain_roll_next_subject_impostor_01_00001032_00001033,sd300b,plain_roll_next_subject_impostor,impostor,1,00001032,00001033,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001032_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001033_roll_1000_01.png,11,1,sd300b_plain_roll_00001032_01,sd300b_plain_roll_00001033_01,31,32,1
sd300b_plain_roll_next_subject_impostor_01_00001033_00001034,sd300b,plain_roll_next_subject_impostor,impostor,1,00001033,00001034,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001033_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001034_roll_1000_01.png,11,1,sd300b_plain_roll_00001033_01,sd300b_plain_roll_00001034_01,32,33,1
sd300b_plain_roll_next_subject_impostor_01_00001034_00001035,sd300b,plain_roll_next_subject_impostor,impostor,1,00001034,00001035,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001034_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001035_roll_1000_01.png,11,1,sd300b_plain_roll_00001034_01,sd300b_plain_roll_00001035_01,33,34,1
sd300b_plain_roll_next_subject_impostor_01_00001035_00001036,sd300b,plain_roll_next_subject_impostor,impostor,1,00001035,00001036,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001035_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001036_roll_1000_01.png,11,1,sd300b_plain_roll_00001035_01,sd300b_plain_roll_00001036_01,34,35,1
sd300b_plain_roll_next_subject_impostor_01_00001036_00001037,sd300b,plain_roll_next_subject_impostor,impostor,1,00001036,00001037,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001036_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001037_roll_1000_01.png,11,1,sd300b_plain_roll_00001036_01,sd300b_plain_roll_00001037_01,35,36,1
sd300b_plain_roll_next_subject_impostor_01_00001037_00001038,sd300b,plain_roll_next_subject_impostor,impostor,1,00001037,00001038,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001037_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001038_roll_1000_01.png,11,1,sd300b_plain_roll_00001037_01,sd300b_plain_roll_00001038_01,36,37,1
sd300b_plain_roll_next_subject_impostor_01_00001038_00001039,sd300b,plain_roll_next_subject_impostor,impostor,1,00001038,00001039,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001038_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001039_roll_1000_01.png,11,1,sd300b_plain_roll_00001038_01,sd300b_plain_roll_00001039_01,37,38,1
sd300b_plain_roll_next_subject_impostor_01_00001039_00001040,sd300b,plain_roll_next_subject_impostor,impostor,1,00001039,00001040,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001039_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001040_roll_1000_01.png,11,1,sd300b_plain_roll_00001039_01,sd300b_plain_roll_00001040_01,38,39,1
sd300b_plain_roll_next_subject_impostor_01_00001040_00001041,sd300b,plain_roll_next_subject_impostor,impostor,1,00001040,00001041,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001040_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001041_roll_1000_01.png,11,1,sd300b_plain_roll_00001040_01,sd300b_plain_roll_00001041_01,39,40,1
sd300b_plain_roll_next_subject_impostor_01_00001041_00001042,sd300b,plain_roll_next_subject_impostor,impostor,1,00001041,00001042,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001041_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001042_roll_1000_01.png,11,1,sd300b_plain_roll_00001041_01,sd300b_plain_roll_00001042_01,40,41,1
sd300b_plain_roll_next_subject_impostor_01_00001042_00001043,sd300b,plain_roll_next_subject_impostor,impostor,1,00001042,00001043,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001042_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001043_roll_1000_01.png,11,1,sd300b_plain_roll_00001042_01,sd300b_plain_roll_00001043_01,41,42,1
sd300b_plain_roll_next_subject_impostor_01_00001043_00001044,sd300b,plain_roll_next_subject_impostor,impostor,1,00001043,00001044,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001043_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001044_roll_1000_01.png,11,1,sd300b_plain_roll_00001043_01,sd300b_plain_roll_00001044_01,42,43,1
sd300b_plain_roll_next_subject_impostor_01_00001044_00001045,sd300b,plain_roll_next_subject_impostor,impostor,1,00001044,00001045,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001044_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001045_roll_1000_01.png,11,1,sd300b_plain_roll_00001044_01,sd300b_plain_roll_00001045_01,43,44,1
sd300b_plain_roll_next_subject_impostor_01_00001045_00001046,sd300b,plain_roll_next_subject_impostor,impostor,1,00001045,00001046,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001045_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001046_roll_1000_01.png,11,1,sd300b_plain_roll_00001045_01,sd300b_plain_roll_00001046_01,44,45,1
sd300b_plain_roll_next_subject_impostor_01_00001046_00001047,sd300b,plain_roll_next_subject_impostor,impostor,1,00001046,00001047,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001046_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001047_roll_1000_01.png,11,1,sd300b_plain_roll_00001046_01,sd300b_plain_roll_00001047_01,45,46,1
sd300b_plain_roll_next_subject_impostor_01_00001047_00001048,sd300b,plain_roll_next_subject_impostor,impostor,1,00001047,00001048,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001047_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001048_roll_1000_01.png,11,1,sd300b_plain_roll_00001047_01,sd300b_plain_roll_00001048_01,46,47,1
sd300b_plain_roll_next_subject_impostor_01_00001048_00001049,sd300b,plain_roll_next_subject_impostor,impostor,1,00001048,00001049,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001048_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001049_roll_1000_01.png,11,1,sd300b_plain_roll_00001048_01,sd300b_plain_roll_00001049_01,47,48,1
sd300b_plain_roll_next_subject_impostor_01_00001049_00001050,sd300b,plain_roll_next_subject_impostor,impostor,1,00001049,00001050,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001049_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001050_roll_1000_01.png,11,1,sd300b_plain_roll_00001049_01,sd300b_plain_roll_00001050_01,48,49,1
sd300b_plain_roll_next_subject_impostor_01_00001050_00001051,sd300b,plain_roll_next_subject_impostor,impostor,1,00001050,00001051,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001050_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001051_roll_1000_01.png,11,1,sd300b_plain_roll_00001050_01,sd300b_plain_roll_00001051_01,49,50,1
sd300b_plain_roll_next_subject_impostor_01_00001051_00001052,sd300b,plain_roll_next_subject_impostor,impostor,1,00001051,00001052,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001051_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001052_roll_1000_01.png,11,1,sd300b_plain_roll_00001051_01,sd300b_plain_roll_00001052_01,50,51,1
sd300b_plain_roll_next_subject_impostor_01_00001052_00001053,sd300b,plain_roll_next_subject_impostor,impostor,1,00001052,00001053,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001052_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001053_roll_1000_01.png,11,1,sd300b_plain_roll_00001052_01,sd300b_plain_roll_00001053_01,51,52,1
sd300b_plain_roll_next_subject_impostor_01_00001053_00001054,sd300b,plain_roll_next_subject_impostor,impostor,1,00001053,00001054,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001053_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001054_roll_1000_01.png,11,1,sd300b_plain_roll_00001053_01,sd300b_plain_roll_00001054_01,52,53,1
sd300b_plain_roll_next_subject_impostor_01_00001054_00001055,sd300b,plain_roll_next_subject_impostor,impostor,1,00001054,00001055,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001054_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001055_roll_1000_01.png,11,1,sd300b_plain_roll_00001054_01,sd300b_plain_roll_00001055_01,53,54,1
sd300b_plain_roll_next_subject_impostor_01_00001055_00001056,sd300b,plain_roll_next_subject_impostor,impostor,1,00001055,00001056,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001055_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001056_roll_1000_01.png,11,1,sd300b_plain_roll_00001055_01,sd300b_plain_roll_00001056_01,54,55,1
sd300b_plain_roll_next_subject_impostor_01_00001056_00001057,sd300b,plain_roll_next_subject_impostor,impostor,1,00001056,00001057,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001056_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001057_roll_1000_01.png,11,1,sd300b_plain_roll_00001056_01,sd300b_plain_roll_00001057_01,55,56,1
sd300b_plain_roll_next_subject_impostor_01_00001057_00001058,sd300b,plain_roll_next_subject_impostor,impostor,1,00001057,00001058,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001057_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001058_roll_1000_01.png,11,1,sd300b_plain_roll_00001057_01,sd300b_plain_roll_00001058_01,56,57,1
sd300b_plain_roll_next_subject_impostor_01_00001058_00001059,sd300b,plain_roll_next_subject_impostor,impostor,1,00001058,00001059,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001058_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001059_roll_1000_01.png,11,1,sd300b_plain_roll_00001058_01,sd300b_plain_roll_00001059_01,57,58,1
sd300b_plain_roll_next_subject_impostor_01_00001059_00001060,sd300b,plain_roll_next_subject_impostor,impostor,1,00001059,00001060,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001059_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001060_roll_1000_01.png,11,1,sd300b_plain_roll_00001059_01,sd300b_plain_roll_00001060_01,58,59,1
sd300b_plain_roll_next_subject_impostor_01_00001060_00001061,sd300b,plain_roll_next_subject_impostor,impostor,1,00001060,00001061,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001060_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001061_roll_1000_01.png,11,1,sd300b_plain_roll_00001060_01,sd300b_plain_roll_00001061_01,59,60,1
sd300b_plain_roll_next_subject_impostor_01_00001061_00001062,sd300b,plain_roll_next_subject_impostor,impostor,1,00001061,00001062,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001061_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001062_roll_1000_01.png,11,1,sd300b_plain_roll_00001061_01,sd300b_plain_roll_00001062_01,60,61,1
sd300b_plain_roll_next_subject_impostor_01_00001062_00001063,sd300b,plain_roll_next_subject_impostor,impostor,1,00001062,00001063,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001062_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001063_roll_1000_01.png,11,1,sd300b_plain_roll_00001062_01,sd300b_plain_roll_00001063_01,61,62,1
sd300b_plain_roll_next_subject_impostor_01_00001063_00001064,sd300b,plain_roll_next_subject_impostor,impostor,1,00001063,00001064,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001063_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001064_roll_1000_01.png,11,1,sd300b_plain_roll_00001063_01,sd300b_plain_roll_00001064_01,62,63,1
sd300b_plain_roll_next_subject_impostor_01_00001064_00001065,sd300b,plain_roll_next_subject_impostor,impostor,1,00001064,00001065,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001064_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001065_roll_1000_01.png,11,1,sd300b_plain_roll_00001064_01,sd300b_plain_roll_00001065_01,63,64,1
sd300b_plain_roll_next_subject_impostor_01_00001065_00001066,sd300b,plain_roll_next_subject_impostor,impostor,1,00001065,00001066,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001065_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001066_roll_1000_01.png,11,1,sd300b_plain_roll_00001065_01,sd300b_plain_roll_00001066_01,64,65,1
sd300b_plain_roll_next_subject_impostor_01_00001066_00001067,sd300b,plain_roll_next_subject_impostor,impostor,1,00001066,00001067,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001066_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001067_roll_1000_01.png,11,1,sd300b_plain_roll_00001066_01,sd300b_plain_roll_00001067_01,65,66,1
sd300b_plain_roll_next_subject_impostor_01_00001067_00001068,sd300b,plain_roll_next_subject_impostor,impostor,1,00001067,00001068,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001067_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001068_roll_1000_01.png,11,1,sd300b_plain_roll_00001067_01,sd300b_plain_roll_00001068_01,66,67,1
