dataset,subject_id,canonical_finger_position,plain_self_pair_id,roll_self_pair_id,base_plain_roll_pair_id,plain_self_decision,roll_self_decision,plain_self_status,roll_self_status,plain_self_raw_score,roll_self_raw_score,plain_self_keypoint_count_a,plain_self_keypoint_count_b,plain_self_candidate_match_count,plain_self_geometric_inlier_count,plain_self_inlier_ratio,plain_self_geometric_model_status,roll_self_keypoint_count_a,roll_self_keypoint_count_b,roll_self_candidate_match_count,roll_self_geometric_inlier_count,roll_self_inlier_ratio,roll_self_geometric_model_status
sd300b,00001002,9,sd300b_plain_self_00001002_09,sd300b_roll_self_00001002_09,sd300b_plain_roll_00001002_09,accepted,accepted,ok,ok,3001.0,1831.0,3001,3001,3001,3001,1.0,success,1831,1831,1831,1831,1.0,success
sd300b,00001002,10,sd300b_plain_self_00001002_10,sd300b_roll_self_00001002_10,sd300b_plain_roll_00001002_10,accepted,accepted,ok,ok,3000.0,1804.0,3000,3000,3000,3000,1.0,success,1804,1804,1804,1804,1.0,success
sd300b,00001003,1,sd300b_plain_self_00001003_01,sd300b_roll_self_00001003_01,sd300b_plain_roll_00001003_01,accepted,accepted,ok,ok,3001.0,3000.0,3001,3001,3001,3001,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001003,2,sd300b_plain_self_00001003_02,sd300b_roll_self_00001003_02,sd300b_plain_roll_00001003_02,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001003,3,sd300b_plain_self_00001003_03,sd300b_roll_self_00001003_03,sd300b_plain_roll_00001003_03,accepted,accepted,ok,ok,2399.0,3000.0,2399,2399,2399,2399,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001003,4,sd300b_plain_self_00001003_04,sd300b_roll_self_00001003_04,sd300b_plain_roll_00001003_04,accepted,accepted,ok,ok,2480.0,3000.0,2480,2480,2480,2480,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001003,5,sd300b_plain_self_00001003_05,sd300b_roll_self_00001003_05,sd300b_plain_roll_00001003_05,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001003,6,sd300b_plain_self_00001003_06,sd300b_roll_self_00001003_06,sd300b_plain_roll_00001003_06,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001003,7,sd300b_plain_self_00001003_07,sd300b_roll_self_00001003_07,sd300b_plain_roll_00001003_07,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001003,8,sd300b_plain_self_00001003_08,sd300b_roll_self_00001003_08,sd300b_plain_roll_00001003_08,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001003,9,sd300b_plain_self_00001003_09,sd300b_roll_self_00001003_09,sd300b_plain_roll_00001003_09,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001003,10,sd300b_plain_self_00001003_10,sd300b_roll_self_00001003_10,sd300b_plain_roll_00001003_10,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001004,1,sd300b_plain_self_00001004_01,sd300b_roll_self_00001004_01,sd300b_plain_roll_00001004_01,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001004,2,sd300b_plain_self_00001004_02,sd300b_roll_self_00001004_02,sd300b_plain_roll_00001004_02,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001004,3,sd300b_plain_self_00001004_03,sd300b_roll_self_00001004_03,sd300b_plain_roll_00001004_03,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001004,4,sd300b_plain_self_00001004_04,sd300b_roll_self_00001004_04,sd300b_plain_roll_00001004_04,accepted,accepted,ok,ok,3001.0,3000.0,3001,3001,3001,3001,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001004,5,sd300b_plain_self_00001004_05,sd300b_roll_self_00001004_05,sd300b_plain_roll_00001004_05,accepted,accepted,ok,ok,1800.0,3001.0,1800,1800,1800,1800,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001004,6,sd300b_plain_self_00001004_06,sd300b_roll_self_00001004_06,sd300b_plain_roll_00001004_06,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001004,7,sd300b_plain_self_00001004_07,sd300b_roll_self_00001004_07,sd300b_plain_roll_00001004_07,accepted,accepted,ok,ok,1713.0,3000.0,1713,1713,1713,1713,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001004,8,sd300b_plain_self_00001004_08,sd300b_roll_self_00001004_08,sd300b_plain_roll_00001004_08,accepted,accepted,ok,ok,2615.0,3000.0,2615,2615,2615,2615,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001004,9,sd300b_plain_self_00001004_09,sd300b_roll_self_00001004_09,sd300b_plain_roll_00001004_09,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001004,10,sd300b_plain_self_00001004_10,sd300b_roll_self_00001004_10,sd300b_plain_roll_00001004_10,accepted,accepted,ok,ok,1354.0,3000.0,1354,1354,1354,1354,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001005,1,sd300b_plain_self_00001005_01,sd300b_roll_self_00001005_01,sd300b_plain_roll_00001005_01,accepted,accepted,ok,ok,1269.0,1201.0,1269,1269,1269,1269,1.0,success,1201,1201,1201,1201,1.0,success
sd300b,00001005,4,sd300b_plain_self_00001005_04,sd300b_roll_self_00001005_04,sd300b_plain_roll_00001005_04,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001005,5,sd300b_plain_self_00001005_05,sd300b_roll_self_00001005_05,sd300b_plain_roll_00001005_05,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001005,6,sd300b_plain_self_00001005_06,sd300b_roll_self_00001005_06,sd300b_plain_roll_00001005_06,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001005,7,sd300b_plain_self_00001005_07,sd300b_roll_self_00001005_07,sd300b_plain_roll_00001005_07,accepted,accepted,ok,ok,3001.0,3000.0,3001,3001,3001,3001,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001005,8,sd300b_plain_self_00001005_08,sd300b_roll_self_00001005_08,sd300b_plain_roll_00001005_08,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001005,9,sd300b_plain_self_00001005_09,sd300b_roll_self_00001005_09,sd300b_plain_roll_00001005_09,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001005,10,sd300b_plain_self_00001005_10,sd300b_roll_self_00001005_10,sd300b_plain_roll_00001005_10,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001006,1,sd300b_plain_self_00001006_01,sd300b_roll_self_00001006_01,sd300b_plain_roll_00001006_01,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001006,2,sd300b_plain_self_00001006_02,sd300b_roll_self_00001006_02,sd300b_plain_roll_00001006_02,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001006,3,sd300b_plain_self_00001006_03,sd300b_roll_self_00001006_03,sd300b_plain_roll_00001006_03,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001006,4,sd300b_plain_self_00001006_04,sd300b_roll_self_00001006_04,sd300b_plain_roll_00001006_04,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001006,5,sd300b_plain_self_00001006_05,sd300b_roll_self_00001006_05,sd300b_plain_roll_00001006_05,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001006,6,sd300b_plain_self_00001006_06,sd300b_roll_self_00001006_06,sd300b_plain_roll_00001006_06,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001006,7,sd300b_plain_self_00001006_07,sd300b_roll_self_00001006_07,sd300b_plain_roll_00001006_07,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001006,8,sd300b_plain_self_00001006_08,sd300b_roll_self_00001006_08,sd300b_plain_roll_00001006_08,accepted,accepted,ok,ok,3001.0,3000.0,3001,3001,3001,3001,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001006,9,sd300b_plain_self_00001006_09,sd300b_roll_self_00001006_09,sd300b_plain_roll_00001006_09,accepted,accepted,ok,ok,3001.0,3000.0,3001,3001,3001,3001,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001006,10,sd300b_plain_self_00001006_10,sd300b_roll_self_00001006_10,sd300b_plain_roll_00001006_10,accepted,accepted,ok,ok,1808.0,3001.0,1808,1808,1808,1808,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001007,1,sd300b_plain_self_00001007_01,sd300b_roll_self_00001007_01,sd300b_plain_roll_00001007_01,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001007,2,sd300b_plain_self_00001007_02,sd300b_roll_self_00001007_02,sd300b_plain_roll_00001007_02,accepted,accepted,ok,ok,2476.0,3000.0,2476,2476,2476,2476,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001007,3,sd300b_plain_self_00001007_03,sd300b_roll_self_00001007_03,sd300b_plain_roll_00001007_03,accepted,accepted,ok,ok,2523.0,3000.0,2523,2523,2523,2523,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001007,4,sd300b_plain_self_00001007_04,sd300b_roll_self_00001007_04,sd300b_plain_roll_00001007_04,accepted,accepted,ok,ok,1377.0,3001.0,1377,1377,1377,1377,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001007,5,sd300b_plain_self_00001007_05,sd300b_roll_self_00001007_05,sd300b_plain_roll_00001007_05,accepted,accepted,ok,ok,2079.0,3001.0,2079,2079,2079,2079,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001007,6,sd300b_plain_self_00001007_06,sd300b_roll_self_00001007_06,sd300b_plain_roll_00001007_06,accepted,accepted,ok,ok,3001.0,3001.0,3001,3001,3001,3001,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001007,7,sd300b_plain_self_00001007_07,sd300b_roll_self_00001007_07,sd300b_plain_roll_00001007_07,accepted,accepted,ok,ok,2685.0,3000.0,2685,2685,2685,2685,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001007,8,sd300b_plain_self_00001007_08,sd300b_roll_self_00001007_08,sd300b_plain_roll_00001007_08,accepted,accepted,ok,ok,2072.0,3000.0,2072,2072,2072,2072,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001007,9,sd300b_plain_self_00001007_09,sd300b_roll_self_00001007_09,sd300b_plain_roll_00001007_09,accepted,accepted,ok,ok,1849.0,3000.0,1849,1849,1849,1849,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001007,10,sd300b_plain_self_00001007_10,sd300b_roll_self_00001007_10,sd300b_plain_roll_00001007_10,accepted,accepted,ok,ok,1515.0,3001.0,1515,1515,1515,1515,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001008,1,sd300b_plain_self_00001008_01,sd300b_roll_self_00001008_01,sd300b_plain_roll_00001008_01,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001008,2,sd300b_plain_self_00001008_02,sd300b_roll_self_00001008_02,sd300b_plain_roll_00001008_02,accepted,accepted,ok,ok,3001.0,3000.0,3001,3001,3001,3001,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001008,3,sd300b_plain_self_00001008_03,sd300b_roll_self_00001008_03,sd300b_plain_roll_00001008_03,accepted,accepted,ok,ok,3001.0,3000.0,3001,3001,3001,3001,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001008,4,sd300b_plain_self_00001008_04,sd300b_roll_self_00001008_04,sd300b_plain_roll_00001008_04,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001008,5,sd300b_plain_self_00001008_05,sd300b_roll_self_00001008_05,sd300b_plain_roll_00001008_05,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001008,6,sd300b_plain_self_00001008_06,sd300b_roll_self_00001008_06,sd300b_plain_roll_00001008_06,accepted,accepted,ok,ok,3000.0,3002.0,3000,3000,3000,3000,1.0,success,3002,3002,3002,3002,1.0,success
sd300b,00001008,7,sd300b_plain_self_00001008_07,sd300b_roll_self_00001008_07,sd300b_plain_roll_00001008_07,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001008,8,sd300b_plain_self_00001008_08,sd300b_roll_self_00001008_08,sd300b_plain_roll_00001008_08,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001008,9,sd300b_plain_self_00001008_09,sd300b_roll_self_00001008_09,sd300b_plain_roll_00001008_09,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001008,10,sd300b_plain_self_00001008_10,sd300b_roll_self_00001008_10,sd300b_plain_roll_00001008_10,accepted,accepted,ok,ok,2193.0,3000.0,2193,2193,2193,2193,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001009,1,sd300b_plain_self_00001009_01,sd300b_roll_self_00001009_01,sd300b_plain_roll_00001009_01,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001009,2,sd300b_plain_self_00001009_02,sd300b_roll_self_00001009_02,sd300b_plain_roll_00001009_02,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001009,3,sd300b_plain_self_00001009_03,sd300b_roll_self_00001009_03,sd300b_plain_roll_00001009_03,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001009,4,sd300b_plain_self_00001009_04,sd300b_roll_self_00001009_04,sd300b_plain_roll_00001009_04,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001009,5,sd300b_plain_self_00001009_05,sd300b_roll_self_00001009_05,sd300b_plain_roll_00001009_05,accepted,accepted,ok,ok,2231.0,3000.0,2231,2231,2231,2231,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001009,6,sd300b_plain_self_00001009_06,sd300b_roll_self_00001009_06,sd300b_plain_roll_00001009_06,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001009,7,sd300b_plain_self_00001009_07,sd300b_roll_self_00001009_07,sd300b_plain_roll_00001009_07,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001009,8,sd300b_plain_self_00001009_08,sd300b_roll_self_00001009_08,sd300b_plain_roll_00001009_08,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001009,9,sd300b_plain_self_00001009_09,sd300b_roll_self_00001009_09,sd300b_plain_roll_00001009_09,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001009,10,sd300b_plain_self_00001009_10,sd300b_roll_self_00001009_10,sd300b_plain_roll_00001009_10,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001010,1,sd300b_plain_self_00001010_01,sd300b_roll_self_00001010_01,sd300b_plain_roll_00001010_01,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001010,2,sd300b_plain_self_00001010_02,sd300b_roll_self_00001010_02,sd300b_plain_roll_00001010_02,accepted,accepted,ok,ok,3000.0,3002.0,3000,3000,3000,3000,1.0,success,3002,3002,3002,3002,1.0,success
sd300b,00001010,3,sd300b_plain_self_00001010_03,sd300b_roll_self_00001010_03,sd300b_plain_roll_00001010_03,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001010,4,sd300b_plain_self_00001010_04,sd300b_roll_self_00001010_04,sd300b_plain_roll_00001010_04,accepted,accepted,ok,ok,3001.0,3001.0,3001,3001,3001,3001,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001010,5,sd300b_plain_self_00001010_05,sd300b_roll_self_00001010_05,sd300b_plain_roll_00001010_05,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001010,6,sd300b_plain_self_00001010_06,sd300b_roll_self_00001010_06,sd300b_plain_roll_00001010_06,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001010,7,sd300b_plain_self_00001010_07,sd300b_roll_self_00001010_07,sd300b_plain_roll_00001010_07,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001010,8,sd300b_plain_self_00001010_08,sd300b_roll_self_00001010_08,sd300b_plain_roll_00001010_08,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001010,9,sd300b_plain_self_00001010_09,sd300b_roll_self_00001010_09,sd300b_plain_roll_00001010_09,accepted,accepted,ok,ok,3001.0,3001.0,3001,3001,3001,3001,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001010,10,sd300b_plain_self_00001010_10,sd300b_roll_self_00001010_10,sd300b_plain_roll_00001010_10,accepted,accepted,ok,ok,795.0,3001.0,795,795,795,795,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001011,1,sd300b_plain_self_00001011_01,sd300b_roll_self_00001011_01,sd300b_plain_roll_00001011_01,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001011,2,sd300b_plain_self_00001011_02,sd300b_roll_self_00001011_02,sd300b_plain_roll_00001011_02,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001011,3,sd300b_plain_self_00001011_03,sd300b_roll_self_00001011_03,sd300b_plain_roll_00001011_03,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001011,4,sd300b_plain_self_00001011_04,sd300b_roll_self_00001011_04,sd300b_plain_roll_00001011_04,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001011,5,sd300b_plain_self_00001011_05,sd300b_roll_self_00001011_05,sd300b_plain_roll_00001011_05,accepted,accepted,ok,ok,2251.0,3000.0,2251,2251,2251,2251,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001011,6,sd300b_plain_self_00001011_06,sd300b_roll_self_00001011_06,sd300b_plain_roll_00001011_06,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
