pair_id,negative_pair_id,dataset,protocol,pair_label,subject_id,canonical_finger_position,subject_id_a,subject_id_b,ppi,path_a,path_b,raw_frgp_a,raw_frgp_b,source_plain_pair_id,source_roll_pair_id,plain_group_index,roll_group_index,shift
sd300b_plain_roll_next_subject_impostor_01_00001011_00001012,sd300b_plain_roll_next_subject_impostor_01_00001011_00001012,sd300b,plain_roll_next_subject_impostor,impostor,00001011,1,00001011,00001012,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001011_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001012_roll_1000_01.png,11,1,sd300b_plain_roll_00001011_01,sd300b_plain_roll_00001012_01,10,11,1
sd300b_plain_roll_next_subject_impostor_01_00001012_00001013,sd300b_plain_roll_next_subject_impostor_01_00001012_00001013,sd300b,plain_roll_next_subject_impostor,impostor,00001012,1,00001012,00001013,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001012_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001013_roll_1000_01.png,11,1,sd300b_plain_roll_00001012_01,sd300b_plain_roll_00001013_01,11,12,1
sd300b_plain_roll_next_subject_impostor_01_00001013_00001014,sd300b_plain_roll_next_subject_impostor_01_00001013_00001014,sd300b,plain_roll_next_subject_impostor,impostor,00001013,1,00001013,00001014,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001013_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001014_roll_1000_01.png,11,1,sd300b_plain_roll_00001013_01,sd300b_plain_roll_00001014_01,12,13,1
sd300b_plain_roll_next_subject_impostor_01_00001014_00001015,sd300b_plain_roll_next_subject_impostor_01_00001014_00001015,sd300b,plain_roll_next_subject_impostor,impostor,00001014,1,00001014,00001015,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001014_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001015_roll_1000_01.png,11,1,sd300b_plain_roll_00001014_01,sd300b_plain_roll_00001015_01,13,14,1
sd300b_plain_roll_next_subject_impostor_01_00001015_00001016,sd300b_plain_roll_next_subject_impostor_01_00001015_00001016,sd300b,plain_roll_next_subject_impostor,impostor,00001015,1,00001015,00001016,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001015_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001016_roll_1000_01.png,11,1,sd300b_plain_roll_00001015_01,sd300b_plain_roll_00001016_01,14,15,1
sd300b_plain_roll_next_subject_impostor_01_00001016_00001017,sd300b_plain_roll_next_subject_impostor_01_00001016_00001017,sd300b,plain_roll_next_subject_impostor,impostor,00001016,1,00001016,00001017,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001016_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001017_roll_1000_01.png,11,1,sd300b_plain_roll_00001016_01,sd300b_plain_roll_00001017_01,15,16,1
sd300b_plain_roll_next_subject_impostor_01_00001017_00001018,sd300b_plain_roll_next_subject_impostor_01_00001017_00001018,sd300b,plain_roll_next_subject_impostor,impostor,00001017,1,00001017,00001018,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001017_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001018_roll_1000_01.png,11,1,sd300b_plain_roll_00001017_01,sd300b_plain_roll_00001018_01,16,17,1
sd300b_plain_roll_next_subject_impostor_01_00001018_00001019,sd300b_plain_roll_next_subject_impostor_01_00001018_00001019,sd300b,plain_roll_next_subject_impostor,impostor,00001018,1,00001018,00001019,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001018_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_01.png,11,1,sd300b_plain_roll_00001018_01,sd300b_plain_roll_00001019_01,17,18,1
sd300b_plain_roll_next_subject_impostor_01_00001019_00001020,sd300b_plain_roll_next_subject_impostor_01_00001019_00001020,sd300b,plain_roll_next_subject_impostor,impostor,00001019,1,00001019,00001020,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001020_roll_1000_01.png,11,1,sd300b_plain_roll_00001019_01,sd300b_plain_roll_00001020_01,18,19,1
sd300b_plain_roll_next_subject_impostor_01_00001020_00001021,sd300b_plain_roll_next_subject_impostor_01_00001020_00001021,sd300b,plain_roll_next_subject_impostor,impostor,00001020,1,00001020,00001021,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001020_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001021_roll_1000_01.png,11,1,sd300b_plain_roll_00001020_01,sd300b_plain_roll_00001021_01,19,20,1
sd300b_plain_roll_next_subject_impostor_01_00001021_00001022,sd300b_plain_roll_next_subject_impostor_01_00001021_00001022,sd300b,plain_roll_next_subject_impostor,impostor,00001021,1,00001021,00001022,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001021_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001022_roll_1000_01.png,11,1,sd300b_plain_roll_00001021_01,sd300b_plain_roll_00001022_01,20,21,1
sd300b_plain_roll_next_subject_impostor_01_00001022_00001023,sd300b_plain_roll_next_subject_impostor_01_00001022_00001023,sd300b,plain_roll_next_subject_impostor,impostor,00001022,1,00001022,00001023,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001022_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001023_roll_1000_01.png,11,1,sd300b_plain_roll_00001022_01,sd300b_plain_roll_00001023_01,21,22,1
sd300b_plain_roll_next_subject_impostor_01_00001023_00001024,sd300b_plain_roll_next_subject_impostor_01_00001023_00001024,sd300b,plain_roll_next_subject_impostor,impostor,00001023,1,00001023,00001024,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001023_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001024_roll_1000_01.png,11,1,sd300b_plain_roll_00001023_01,sd300b_plain_roll_00001024_01,22,23,1
sd300b_plain_roll_next_subject_impostor_01_00001024_00001025,sd300b_plain_roll_next_subject_impostor_01_00001024_00001025,sd300b,plain_roll_next_subject_impostor,impostor,00001024,1,00001024,00001025,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001024_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001025_roll_1000_01.png,11,1,sd300b_plain_roll_00001024_01,sd300b_plain_roll_00001025_01,23,24,1
sd300b_plain_roll_next_subject_impostor_01_00001025_00001026,sd300b_plain_roll_next_subject_impostor_01_00001025_00001026,sd300b,plain_roll_next_subject_impostor,impostor,00001025,1,00001025,00001026,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001025_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001026_roll_1000_01.png,11,1,sd300b_plain_roll_00001025_01,sd300b_plain_roll_00001026_01,24,25,1
sd300b_plain_roll_next_subject_impostor_01_00001026_00001027,sd300b_plain_roll_next_subject_impostor_01_00001026_00001027,sd300b,plain_roll_next_subject_impostor,impostor,00001026,1,00001026,00001027,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001026_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001027_roll_1000_01.png,11,1,sd300b_plain_roll_00001026_01,sd300b_plain_roll_00001027_01,25,26,1
sd300b_plain_roll_next_subject_impostor_01_00001027_00001028,sd300b_plain_roll_next_subject_impostor_01_00001027_00001028,sd300b,plain_roll_next_subject_impostor,impostor,00001027,1,00001027,00001028,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001027_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001028_roll_1000_01.png,11,1,sd300b_plain_roll_00001027_01,sd300b_plain_roll_00001028_01,26,27,1
sd300b_plain_roll_next_subject_impostor_01_00001028_00001029,sd300b_plain_roll_next_subject_impostor_01_00001028_00001029,sd300b,plain_roll_next_subject_impostor,impostor,00001028,1,00001028,00001029,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001028_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001029_roll_1000_01.png,11,1,sd300b_plain_roll_00001028_01,sd300b_plain_roll_00001029_01,27,28,1
sd300b_plain_roll_next_subject_impostor_01_00001029_00001030,sd300b_plain_roll_next_subject_impostor_01_00001029_00001030,sd300b,plain_roll_next_subject_impostor,impostor,00001029,1,00001029,00001030,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001029_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001030_roll_1000_01.png,11,1,sd300b_plain_roll_00001029_01,sd300b_plain_roll_00001030_01,28,29,1
sd300b_plain_roll_next_subject_impostor_01_00001030_00001031,sd300b_plain_roll_next_subject_impostor_01_00001030_00001031,sd300b,plain_roll_next_subject_impostor,impostor,00001030,1,00001030,00001031,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001030_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001031_roll_1000_01.png,11,1,sd300b_plain_roll_00001030_01,sd300b_plain_roll_00001031_01,29,30,1
sd300b_plain_roll_next_subject_impostor_01_00001031_00001032,sd300b_plain_roll_next_subject_impostor_01_00001031_00001032,sd300b,plain_roll_next_subject_impostor,impostor,00001031,1,00001031,00001032,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001031_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001032_roll_1000_01.png,11,1,sd300b_plain_roll_00001031_01,sd300b_plain_roll_00001032_01,30,31,1
sd300b_plain_roll_next_subject_impostor_01_00001032_00001033,sd300b_plain_roll_next_subject_impostor_01_00001032_00001033,sd300b,plain_roll_next_subject_impostor,impostor,00001032,1,00001032,00001033,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001032_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001033_roll_1000_01.png,11,1,sd300b_plain_roll_00001032_01,sd300b_plain_roll_00001033_01,31,32,1
sd300b_plain_roll_next_subject_impostor_01_00001033_00001034,sd300b_plain_roll_next_subject_impostor_01_00001033_00001034,sd300b,plain_roll_next_subject_impostor,impostor,00001033,1,00001033,00001034,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001033_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001034_roll_1000_01.png,11,1,sd300b_plain_roll_00001033_01,sd300b_plain_roll_00001034_01,32,33,1
sd300b_plain_roll_next_subject_impostor_01_00001034_00001035,sd300b_plain_roll_next_subject_impostor_01_00001034_00001035,sd300b,plain_roll_next_subject_impostor,impostor,00001034,1,00001034,00001035,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001034_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001035_roll_1000_01.png,11,1,sd300b_plain_roll_00001034_01,sd300b_plain_roll_00001035_01,33,34,1
sd300b_plain_roll_next_subject_impostor_01_00001035_00001036,sd300b_plain_roll_next_subject_impostor_01_00001035_00001036,sd300b,plain_roll_next_subject_impostor,impostor,00001035,1,00001035,00001036,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001035_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001036_roll_1000_01.png,11,1,sd300b_plain_roll_00001035_01,sd300b_plain_roll_00001036_01,34,35,1
sd300b_plain_roll_next_subject_impostor_01_00001036_00001037,sd300b_plain_roll_next_subject_impostor_01_00001036_00001037,sd300b,plain_roll_next_subject_impostor,impostor,00001036,1,00001036,00001037,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001036_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001037_roll_1000_01.png,11,1,sd300b_plain_roll_00001036_01,sd300b_plain_roll_00001037_01,35,36,1
sd300b_plain_roll_next_subject_impostor_01_00001037_00001038,sd300b_plain_roll_next_subject_impostor_01_00001037_00001038,sd300b,plain_roll_next_subject_impostor,impostor,00001037,1,00001037,00001038,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001037_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001038_roll_1000_01.png,11,1,sd300b_plain_roll_00001037_01,sd300b_plain_roll_00001038_01,36,37,1
sd300b_plain_roll_next_subject_impostor_01_00001038_00001039,sd300b_plain_roll_next_subject_impostor_01_00001038_00001039,sd300b,plain_roll_next_subject_impostor,impostor,00001038,1,00001038,00001039,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001038_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001039_roll_1000_01.png,11,1,sd300b_plain_roll_00001038_01,sd300b_plain_roll_00001039_01,37,38,1
sd300b_plain_roll_next_subject_impostor_01_00001039_00001040,sd300b_plain_roll_next_subject_impostor_01_00001039_00001040,sd300b,plain_roll_next_subject_impostor,impostor,00001039,1,00001039,00001040,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001039_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001040_roll_1000_01.png,11,1,sd300b_plain_roll_00001039_01,sd300b_plain_roll_00001040_01,38,39,1
sd300b_plain_roll_next_subject_impostor_01_00001040_00001041,sd300b_plain_roll_next_subject_impostor_01_00001040_00001041,sd300b,plain_roll_next_subject_impostor,impostor,00001040,1,00001040,00001041,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001040_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001041_roll_1000_01.png,11,1,sd300b_plain_roll_00001040_01,sd300b_plain_roll_00001041_01,39,40,1
sd300b_plain_roll_next_subject_impostor_01_00001041_00001042,sd300b_plain_roll_next_subject_impostor_01_00001041_00001042,sd300b,plain_roll_next_subject_impostor,impostor,00001041,1,00001041,00001042,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001041_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001042_roll_1000_01.png,11,1,sd300b_plain_roll_00001041_01,sd300b_plain_roll_00001042_01,40,41,1
sd300b_plain_roll_next_subject_impostor_01_00001042_00001043,sd300b_plain_roll_next_subject_impostor_01_00001042_00001043,sd300b,plain_roll_next_subject_impostor,impostor,00001042,1,00001042,00001043,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001042_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001043_roll_1000_01.png,11,1,sd300b_plain_roll_00001042_01,sd300b_plain_roll_00001043_01,41,42,1
sd300b_plain_roll_next_subject_impostor_01_00001043_00001044,sd300b_plain_roll_next_subject_impostor_01_00001043_00001044,sd300b,plain_roll_next_subject_impostor,impostor,00001043,1,00001043,00001044,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001043_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001044_roll_1000_01.png,11,1,sd300b_plain_roll_00001043_01,sd300b_plain_roll_00001044_01,42,43,1
sd300b_plain_roll_next_subject_impostor_01_00001044_00001045,sd300b_plain_roll_next_subject_impostor_01_00001044_00001045,sd300b,plain_roll_next_subject_impostor,impostor,00001044,1,00001044,00001045,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001044_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001045_roll_1000_01.png,11,1,sd300b_plain_roll_00001044_01,sd300b_plain_roll_00001045_01,43,44,1
sd300b_plain_roll_next_subject_impostor_01_00001045_00001046,sd300b_plain_roll_next_subject_impostor_01_00001045_00001046,sd300b,plain_roll_next_subject_impostor,impostor,00001045,1,00001045,00001046,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001045_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001046_roll_1000_01.png,11,1,sd300b_plain_roll_00001045_01,sd300b_plain_roll_00001046_01,44,45,1
sd300b_plain_roll_next_subject_impostor_01_00001046_00001047,sd300b_plain_roll_next_subject_impostor_01_00001046_00001047,sd300b,plain_roll_next_subject_impostor,impostor,00001046,1,00001046,00001047,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001046_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001047_roll_1000_01.png,11,1,sd300b_plain_roll_00001046_01,sd300b_plain_roll_00001047_01,45,46,1
sd300b_plain_roll_next_subject_impostor_01_00001047_00001048,sd300b_plain_roll_next_subject_impostor_01_00001047_00001048,sd300b,plain_roll_next_subject_impostor,impostor,00001047,1,00001047,00001048,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001047_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001048_roll_1000_01.png,11,1,sd300b_plain_roll_00001047_01,sd300b_plain_roll_00001048_01,46,47,1
sd300b_plain_roll_next_subject_impostor_01_00001048_00001049,sd300b_plain_roll_next_subject_impostor_01_00001048_00001049,sd300b,plain_roll_next_subject_impostor,impostor,00001048,1,00001048,00001049,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001048_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001049_roll_1000_01.png,11,1,sd300b_plain_roll_00001048_01,sd300b_plain_roll_00001049_01,47,48,1
sd300b_plain_roll_next_subject_impostor_01_00001049_00001050,sd300b_plain_roll_next_subject_impostor_01_00001049_00001050,sd300b,plain_roll_next_subject_impostor,impostor,00001049,1,00001049,00001050,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001049_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001050_roll_1000_01.png,11,1,sd300b_plain_roll_00001049_01,sd300b_plain_roll_00001050_01,48,49,1
sd300b_plain_roll_next_subject_impostor_01_00001050_00001051,sd300b_plain_roll_next_subject_impostor_01_00001050_00001051,sd300b,plain_roll_next_subject_impostor,impostor,00001050,1,00001050,00001051,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001050_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001051_roll_1000_01.png,11,1,sd300b_plain_roll_00001050_01,sd300b_plain_roll_00001051_01,49,50,1
sd300b_plain_roll_next_subject_impostor_01_00001051_00001052,sd300b_plain_roll_next_subject_impostor_01_00001051_00001052,sd300b,plain_roll_next_subject_impostor,impostor,00001051,1,00001051,00001052,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001051_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001052_roll_1000_01.png,11,1,sd300b_plain_roll_00001051_01,sd300b_plain_roll_00001052_01,50,51,1
sd300b_plain_roll_next_subject_impostor_01_00001052_00001000,sd300b_plain_roll_next_subject_impostor_01_00001052_00001000,sd300b,plain_roll_next_subject_impostor,impostor,00001052,1,00001052,00001000,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001052_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_01.png,11,1,sd300b_plain_roll_00001052_01,sd300b_plain_roll_00001000_01,51,0,1
sd300b_plain_roll_next_subject_impostor_02_00001000_00001001,sd300b_plain_roll_next_subject_impostor_02_00001000_00001001,sd300b,plain_roll_next_subject_impostor,impostor,00001000,2,00001000,00001001,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_02.png,2,2,sd300b_plain_roll_00001000_02,sd300b_plain_roll_00001001_02,0,1,1
sd300b_plain_roll_next_subject_impostor_02_00001001_00001002,sd300b_plain_roll_next_subject_impostor_02_00001001_00001002,sd300b,plain_roll_next_subject_impostor,impostor,00001001,2,00001001,00001002,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_02.png,2,2,sd300b_plain_roll_00001001_02,sd300b_plain_roll_00001002_02,1,2,1
sd300b_plain_roll_next_subject_impostor_02_00001002_00001003,sd300b_plain_roll_next_subject_impostor_02_00001002_00001003,sd300b,plain_roll_next_subject_impostor,impostor,00001002,2,00001002,00001003,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_02.png,2,2,sd300b_plain_roll_00001002_02,sd300b_plain_roll_00001003_02,2,3,1
sd300b_plain_roll_next_subject_impostor_02_00001003_00001004,sd300b_plain_roll_next_subject_impostor_02_00001003_00001004,sd300b,plain_roll_next_subject_impostor,impostor,00001003,2,00001003,00001004,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_02.png,2,2,sd300b_plain_roll_00001003_02,sd300b_plain_roll_00001004_02,3,4,1
sd300b_plain_roll_next_subject_impostor_02_00001004_00001006,sd300b_plain_roll_next_subject_impostor_02_00001004_00001006,sd300b,plain_roll_next_subject_impostor,impostor,00001004,2,00001004,00001006,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001006_roll_1000_02.png,2,2,sd300b_plain_roll_00001004_02,sd300b_plain_roll_00001006_02,4,5,1
sd300b_plain_roll_next_subject_impostor_02_00001006_00001007,sd300b_plain_roll_next_subject_impostor_02_00001006_00001007,sd300b,plain_roll_next_subject_impostor,impostor,00001006,2,00001006,00001007,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001006_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001007_roll_1000_02.png,2,2,sd300b_plain_roll_00001006_02,sd300b_plain_roll_00001007_02,5,6,1
