pair_id,dataset,protocol,subject_id,canonical_finger_position,status,error_code,raw_score,threshold,accepted,zero_score,geometry_success,geometry_failure_reason,keypoint_count_a,keypoint_count_b,ratio_match_count,mutual_match_count,matches_submitted,inlier_count,outlier_count,total_ms
sd300b_plain_roll_00001010_10,sd300b,plain_roll,00001010,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,795,3001,1,1,1,0,1,399.8183
sd300b_plain_roll_00001015_02,sd300b,plain_roll,00001015,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,5,1,1,0,1,522.608
sd300b_plain_roll_00001015_08,sd300b,plain_roll,00001015,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,6,1,1,0,1,508.446
sd300b_plain_roll_00001018_01,sd300b,plain_roll,00001018,1,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,5,2,2,0,2,605.8556
sd300b_plain_roll_00001018_08,sd300b,plain_roll,00001018,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,5,1,1,0,1,508.8295
sd300b_plain_roll_00001018_10,sd300b,plain_roll,00001018,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2055,3000,3,1,1,0,1,459.1645
sd300b_plain_roll_00001019_03,sd300b,plain_roll,00001019,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1754,3000,5,1,1,0,1,436.9158
sd300b_plain_roll_00001019_05,sd300b,plain_roll,00001019,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2,1777,0,0,0,0,0,363.2023
sd300b_plain_roll_00001019_07,sd300b,plain_roll,00001019,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,342,3000,2,2,2,0,2,384.242
sd300b_plain_roll_00001019_09,sd300b,plain_roll,00001019,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1131,3000,2,1,1,0,1,417.7129
sd300b_plain_roll_00001019_10,sd300b,plain_roll,00001019,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,52,3000,2,2,2,0,2,388.535
sd300b_plain_roll_00001020_05,sd300b,plain_roll,00001020,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2508,3001,14,1,1,0,1,467.2234
sd300b_plain_roll_00001021_03,sd300b,plain_roll,00001021,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,6,0,0,0,0,523.2467
sd300b_plain_roll_00001021_05,sd300b,plain_roll,00001021,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,220,3000,0,0,0,0,0,369.9768
sd300b_plain_roll_00001022_03,sd300b,plain_roll,00001022,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2194,3000,1,1,1,0,1,468.56
sd300b_plain_roll_00001022_04,sd300b,plain_roll,00001022,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,685,3001,1,1,1,0,1,417.9787
sd300b_plain_roll_00001022_05,sd300b,plain_roll,00001022,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,419,3001,4,2,2,0,2,414.2592
sd300b_plain_roll_00001022_08,sd300b,plain_roll,00001022,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,5,0,0,0,0,498.2731
sd300b_plain_roll_00001022_09,sd300b,plain_roll,00001022,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1923,3001,3,2,2,0,2,450.2304
sd300b_plain_roll_00001022_10,sd300b,plain_roll,00001022,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1183,3000,1,1,1,0,1,433.5233
sd300b_plain_roll_00001023_01,sd300b,plain_roll,00001023,1,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,12,2,2,0,2,599.2081
sd300b_plain_roll_00001023_05,sd300b,plain_roll,00001023,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3000,13,1,1,0,1,472.2483
sd300b_plain_roll_00001023_07,sd300b,plain_roll,00001023,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,4,0,0,0,0,525.2466
sd300b_plain_roll_00001023_09,sd300b,plain_roll,00001023,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3002,3000,9,1,1,0,1,530.9759
sd300b_plain_roll_00001024_04,sd300b,plain_roll,00001024,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,7,2,2,0,2,531.3674
sd300b_plain_roll_00001024_07,sd300b,plain_roll,00001024,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2125,3002,11,2,2,0,2,497.3482
sd300b_plain_roll_00001026_02,sd300b,plain_roll,00001026,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2122,3000,17,0,0,0,0,433.293
sd300b_plain_roll_00001026_10,sd300b,plain_roll,00001026,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,10,2,2,0,2,496.2039
sd300b_plain_roll_00001028_04,sd300b,plain_roll,00001028,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1242,3001,8,2,2,0,2,441.755
sd300b_plain_roll_00001029_05,sd300b,plain_roll,00001029,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,826,3000,2,1,1,0,1,408.7479
sd300b_plain_roll_00001029_06,sd300b,plain_roll,00001029,6,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,7,2,2,0,2,605.5311
sd300b_plain_roll_00001029_10,sd300b,plain_roll,00001029,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,6,0,0,0,0,508.7265
sd300b_plain_roll_00001030_05,sd300b,plain_roll,00001030,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1022,3000,2,1,1,0,1,452.7767
sd300b_plain_roll_00001030_08,sd300b,plain_roll,00001030,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1394,3000,2,1,1,0,1,420.4349
sd300b_plain_roll_00001032_08,sd300b,plain_roll,00001032,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,13,2,2,0,2,520.3104
sd300b_plain_roll_00001034_05,sd300b,plain_roll,00001034,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,5,0,0,0,0,504.3464
sd300b_plain_roll_00001034_10,sd300b,plain_roll,00001034,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,12,1,1,0,1,497.6925
sd300b_plain_roll_00001035_05,sd300b,plain_roll,00001035,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2774,3000,6,1,1,0,1,511.5175
sd300b_plain_roll_00001035_09,sd300b,plain_roll,00001035,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,7,2,2,0,2,524.4911
sd300b_plain_roll_00001035_10,sd300b,plain_roll,00001035,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1790,3002,4,1,1,0,1,417.5295
sd300b_plain_roll_00001036_02,sd300b,plain_roll,00001036,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,7,2,2,0,2,508.8228
sd300b_plain_roll_00001036_04,sd300b,plain_roll,00001036,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3001,16,2,2,0,2,504.9144
sd300b_plain_roll_00001036_05,sd300b,plain_roll,00001036,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1841,3000,5,0,0,0,0,513.6954
sd300b_plain_roll_00001036_07,sd300b,plain_roll,00001036,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2410,3000,10,0,0,0,0,488.3785
sd300b_plain_roll_00001036_08,sd300b,plain_roll,00001036,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,5,0,0,0,0,498.1903
sd300b_plain_roll_00001036_10,sd300b,plain_roll,00001036,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1322,3000,5,1,1,0,1,437.7501
sd300b_plain_roll_00001037_10,sd300b,plain_roll,00001037,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3000,13,2,2,0,2,493.4862
sd300b_plain_roll_00001038_03,sd300b,plain_roll,00001038,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3001,5,1,1,0,1,514.7764
sd300b_plain_roll_00001038_04,sd300b,plain_roll,00001038,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2889,3000,4,1,1,0,1,499.2565
sd300b_plain_roll_00001038_07,sd300b,plain_roll,00001038,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3000,7,0,0,0,0,495.8441
sd300b_plain_roll_00001038_08,sd300b,plain_roll,00001038,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,9,2,2,0,2,495.1555
sd300b_plain_roll_00001038_09,sd300b,plain_roll,00001038,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,10,2,2,0,2,496.9214
sd300b_plain_roll_00001038_10,sd300b,plain_roll,00001038,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2734,3000,6,2,2,0,2,452.9407
sd300b_plain_roll_00001039_10,sd300b,plain_roll,00001039,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,3,1,1,0,1,465.7399
sd300b_plain_roll_00001040_02,sd300b,plain_roll,00001040,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,215,3000,4,1,1,0,1,402.2726
sd300b_plain_roll_00001040_04,sd300b,plain_roll,00001040,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1180,3001,7,1,1,0,1,437.8172
sd300b_plain_roll_00001040_07,sd300b,plain_roll,00001040,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1693,3000,4,2,2,0,2,470.5992
sd300b_plain_roll_00001041_10,sd300b,plain_roll,00001041,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2301,3000,2,1,1,0,1,420.712
sd300b_plain_roll_00001044_02,sd300b,plain_roll,00001044,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,448,3000,2,1,1,0,1,392.9313
sd300b_plain_roll_00001044_07,sd300b,plain_roll,00001044,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1643,3000,2,1,1,0,1,439.6412
sd300b_plain_roll_00001044_09,sd300b,plain_roll,00001044,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,576,3000,1,1,1,0,1,400.882
sd300b_plain_roll_00001044_10,sd300b,plain_roll,00001044,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,934,3000,1,0,0,0,0,400.1333
sd300b_plain_roll_00001045_02,sd300b,plain_roll,00001045,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2654,3001,5,1,1,0,1,464.8854
sd300b_plain_roll_00001045_05,sd300b,plain_roll,00001045,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1166,3000,2,1,1,0,1,427.9321
sd300b_plain_roll_00001047_02,sd300b,plain_roll,00001047,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,706,2471,5,1,1,0,1,376.7828
sd300b_plain_roll_00001047_10,sd300b,plain_roll,00001047,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,940,3000,0,0,0,0,0,402.7383
sd300b_plain_roll_00001048_05,sd300b,plain_roll,00001048,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,645,3001,2,0,0,0,0,399.4089
sd300b_plain_roll_00001048_10,sd300b,plain_roll,00001048,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2847,3001,8,0,0,0,0,479.8905
sd300b_plain_roll_00001049_01,sd300b,plain_roll,00001049,1,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,9,2,2,0,2,592.1813
sd300b_plain_roll_00001049_03,sd300b,plain_roll,00001049,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,8,2,2,0,2,495.12
sd300b_plain_roll_00001049_04,sd300b,plain_roll,00001049,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,12,2,2,0,2,492.2725
sd300b_plain_roll_00001049_05,sd300b,plain_roll,00001049,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,5,0,0,0,0,482.6535
sd300b_plain_roll_00001049_06,sd300b,plain_roll,00001049,6,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,12,2,2,0,2,599.9563
sd300b_plain_roll_00001049_08,sd300b,plain_roll,00001049,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,8,0,0,0,0,512.6132
sd300b_plain_roll_00001049_09,sd300b,plain_roll,00001049,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3000,7,1,1,0,1,485.5232
sd300b_plain_roll_00001049_10,sd300b,plain_roll,00001049,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2206,3001,3,1,1,0,1,434.9598
sd300b_plain_roll_00001050_02,sd300b,plain_roll,00001050,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2091,3000,2,1,1,0,1,399.6912
sd300b_plain_roll_00001050_03,sd300b,plain_roll,00001050,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1785,3000,12,2,2,0,2,389.8807
sd300b_plain_roll_00001050_04,sd300b,plain_roll,00001050,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1683,3000,2,1,1,0,1,373.8236
sd300b_plain_roll_00001050_07,sd300b,plain_roll,00001050,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,472,3000,2,1,1,0,1,353.3987
sd300b_plain_roll_00001050_09,sd300b,plain_roll,00001050,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,253,3000,1,0,0,0,0,340.9979
sd300b_plain_roll_00001051_04,sd300b,plain_roll,00001051,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1279,3000,1,1,1,0,1,416.4772
sd300b_plain_roll_00001051_05,sd300b,plain_roll,00001051,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1202,3000,4,2,2,0,2,393.9697
sd300b_plain_roll_00001051_07,sd300b,plain_roll,00001051,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2846,3000,7,2,2,0,2,473.6236
sd300b_plain_roll_00001051_08,sd300b,plain_roll,00001051,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,6,1,1,0,1,484.3272
sd300b_plain_roll_00001051_10,sd300b,plain_roll,00001051,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2057,3000,4,1,1,0,1,441.3492
sd300b_plain_roll_00001052_04,sd300b,plain_roll,00001052,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,831,3000,2,1,1,0,1,397.0898
sd300b_plain_roll_00001052_05,sd300b,plain_roll,00001052,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1024,3001,4,2,2,0,2,393.698
sd300b_plain_roll_00001052_10,sd300b,plain_roll,00001052,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1019,3000,1,0,0,0,0,375.9561
sd300b_plain_roll_00001053_04,sd300b,plain_roll,00001053,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,881,3001,0,0,0,0,0,423.8997
sd300b_plain_roll_00001054_05,sd300b,plain_roll,00001054,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1317,3000,4,1,1,0,1,396.162
sd300b_plain_roll_00001054_07,sd300b,plain_roll,00001054,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,548,3001,1,0,0,0,0,396.5648
sd300b_plain_roll_00001054_09,sd300b,plain_roll,00001054,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2302,3000,2,0,0,0,0,423.8253
sd300b_plain_roll_00001054_10,sd300b,plain_roll,00001054,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1569,3000,4,1,1,0,1,414.6182
sd300b_plain_roll_00001055_09,sd300b,plain_roll,00001055,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,11,2,2,0,2,477.1791
sd300b_plain_roll_00001056_01,sd300b,plain_roll,00001056,1,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,6,1,1,0,1,575.697
sd300b_plain_roll_00001056_03,sd300b,plain_roll,00001056,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,4,1,1,0,1,486.376
sd300b_plain_roll_00001056_04,sd300b,plain_roll,00001056,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,5,1,1,0,1,483.852
sd300b_plain_roll_00001056_05,sd300b,plain_roll,00001056,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3002,7,2,2,0,2,469.7219
sd300b_plain_roll_00001056_06,sd300b,plain_roll,00001056,6,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,6,0,0,0,0,593.1458
sd300b_plain_roll_00001056_07,sd300b,plain_roll,00001056,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,13,2,2,0,2,481.8995
sd300b_plain_roll_00001056_09,sd300b,plain_roll,00001056,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,10,2,2,0,2,479.6968
sd300b_plain_roll_00001056_10,sd300b,plain_roll,00001056,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,9,2,2,0,2,474.0735
sd300b_plain_roll_00001059_01,sd300b,plain_roll,00001059,1,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,767,3001,0,0,0,0,0,434.8095
sd300b_plain_roll_00001059_05,sd300b,plain_roll,00001059,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,11,1,1,0,1,376.1475
sd300b_plain_roll_00001059_06,sd300b,plain_roll,00001059,6,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,194,3000,0,0,0,0,0,460.9143
sd300b_plain_roll_00001059_08,sd300b,plain_roll,00001059,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3001,20,2,2,0,2,439.6574
sd300b_plain_roll_00001060_02,sd300b,plain_roll,00001060,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3000,7,2,2,0,2,483.8618
sd300b_plain_roll_00001060_05,sd300b,plain_roll,00001060,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1871,3000,4,2,2,0,2,408.2635
sd300b_plain_roll_00001060_07,sd300b,plain_roll,00001060,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2111,3001,6,2,2,0,2,450.146
sd300b_plain_roll_00001060_10,sd300b,plain_roll,00001060,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1515,3001,2,1,1,0,1,385.5776
sd300b_plain_roll_00001061_07,sd300b,plain_roll,00001061,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,12,2,2,0,2,443.9806
sd300b_plain_roll_00001061_10,sd300b,plain_roll,00001061,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,991,3000,3,1,1,0,1,384.5867
sd300b_plain_roll_00001062_07,sd300b,plain_roll,00001062,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3000,17,2,2,0,2,469.7588
sd300b_plain_roll_00001063_01,sd300b,plain_roll,00001063,1,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,14,0,0,0,0,564.497
sd300b_plain_roll_00001063_03,sd300b,plain_roll,00001063,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,701,3000,10,1,1,0,1,411.8636
sd300b_plain_roll_00001063_05,sd300b,plain_roll,00001063,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,552,3000,1,0,0,0,0,410.1022
sd300b_plain_roll_00001063_07,sd300b,plain_roll,00001063,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1192,3001,6,1,1,0,1,385.8339
sd300b_plain_roll_00001063_10,sd300b,plain_roll,00001063,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,573,3000,5,1,1,0,1,402.2121
sd300b_plain_roll_00001065_07,sd300b,plain_roll,00001065,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2731,3000,11,1,1,0,1,432.1085
sd300b_plain_roll_00001065_10,sd300b,plain_roll,00001065,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2909,3000,5,1,1,0,1,472.6576
sd300b_plain_roll_00001066_05,sd300b,plain_roll,00001066,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3001,5,2,2,0,2,483.1727
sd300b_plain_roll_00001066_10,sd300b,plain_roll,00001066,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,5,0,0,0,0,467.484
sd300b_plain_roll_00001067_03,sd300b,plain_roll,00001067,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,565,3001,1,0,0,0,0,405.8114
sd300b_plain_roll_00001067_10,sd300b,plain_roll,00001067,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2579,3001,8,1,1,0,1,455.903
sd300b_plain_roll_00001069_05,sd300b,plain_roll,00001069,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,695,3001,0,0,0,0,0,372.7968
sd300b_plain_roll_00001070_04,sd300b,plain_roll,00001070,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,3,0,0,0,0,405.1979
sd300b_plain_roll_00001070_08,sd300b,plain_roll,00001070,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1268,3000,4,1,1,0,1,340.2402
sd300b_plain_roll_00001071_04,sd300b,plain_roll,00001071,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,6,2,2,0,2,452.9326
sd300b_plain_roll_00001071_05,sd300b,plain_roll,00001071,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,3,2,2,0,2,453.5873
sd300b_plain_roll_00001071_09,sd300b,plain_roll,00001071,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,6,1,1,0,1,469.3881
sd300b_plain_roll_00001072_02,sd300b,plain_roll,00001072,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2082,3000,13,2,2,0,2,415.135
sd300b_plain_roll_00001072_03,sd300b,plain_roll,00001072,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,9,1,1,0,1,432.108
sd300b_plain_roll_00001072_07,sd300b,plain_roll,00001072,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,7,0,0,0,0,437.8804
sd300b_plain_roll_00001072_10,sd300b,plain_roll,00001072,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1523,3000,3,0,0,0,0,388.1964
sd300b_plain_roll_00001073_03,sd300b,plain_roll,00001073,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,12,2,2,0,2,486.4988
sd300b_plain_roll_00001073_04,sd300b,plain_roll,00001073,4,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,11,1,1,0,1,479.813
sd300b_plain_roll_00001074_02,sd300b,plain_roll,00001074,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,10,1,1,0,1,456.9771
sd300b_plain_roll_00001074_03,sd300b,plain_roll,00001074,3,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,10,0,0,0,0,447.2768
sd300b_plain_roll_00001075_02,sd300b,plain_roll,00001075,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2673,3001,64,1,1,0,1,438.5878
sd300b_plain_roll_00001075_05,sd300b,plain_roll,00001075,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2230,3000,6,2,2,0,2,433.6691
sd300b_plain_roll_00001075_09,sd300b,plain_roll,00001075,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3001,3000,14,1,1,0,1,439.107
